team_code,team_sub,sub_submissions_window,submissions_per_1k_subs,activity_quality
ANA,anaheimducks,5410,173.71,ok
BOS,BostonBruins,3071,25.74,ok
BUF,sabres,7741,188.6,ok
CGY,CalgaryFlames,4141,59.99,ok
CAR,canes,7284,120.77,ok
CHI,hawks,3379,29.54,ok
COL,ColoradoAvalanche,6108,75.35,ok
CBJ,BlueJackets,3220,62.95,ok
DAL,DallasStars,5491,89.31,ok
DET,DetroitRedWings,5118,39.55,ok
EDM,EdmontonOilers,11409,109.32,ok
FLA,FloridaPanthers,8132,232.7,ok
LA,losangeleskings,4065,102.24,ok
MIN,wildhockey,5090,85.35,ok
MON,Habs,14532,143.05,ok
NAS,Predators,2914,72.34,ok
NJ,devils,5379,92.47,ok
NYI,NewYorkIslanders,3794,61.16,ok
NYR,rangers,5954,75.82,ok
OTT,OttawaSenators,7923,174.5,ok
PHI,Flyers,5373,77.68,ok
PIT,penguins,5460,46.23,ok
SJ,SanJoseSharks,7392,110.22,ok
SEA,SeattleKraken,3430,70.66,ok
STL,stlouisblues,2779,48.36,ok
TB,TampaBayLightning,4941,78.42,ok
TOR,leafs,9625,26.76,ok
UTA,utahmammoth,81,35.71,low
VAN,canucks,9072,47.86,ok
VEG,goldenknights,2172,47.53,ok
WAS,caps,5113,76.11,ok
WPG,winnipegjets,2557,33.04,ok
