team_code,team_name,division,metro_population,arena_attendance,arena_capacity,attendance_pct_capacity,team_sub,team_sub_subscribers,sub_retrieved_on,components_present,notes
ANA,Anaheim Ducks,Pacific,12844441,16046,17174,0.9343,anaheimducks,31143,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,shares Los Angeles MSA (Anaheim in Greater LA)
BOS,Boston Bruins,Atlantic,5034221,17850,17565,1.0162,BostonBruins,119306,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
BUF,Buffalo Sabres,Atlantic,1155653,16127,19070,0.8457,sabres,41045,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
CGY,Calgary Flames,Pacific,1481806,18249,19289,0.9461,CalgaryFlames,69028,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
CAR,Carolina Hurricanes,Metropolitan,1595720,18700,18547,1.0082,canes,60312,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,"plays in Raleigh, NC"
CHI,Chicago Blackhawks,Central,9434123,19277,19717,0.9777,hawks,114372,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
COL,Colorado Avalanche,Central,3092037,18133,17809,1.0182,ColoradoAvalanche,81061,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
CBJ,Columbus Blue Jackets,Metropolitan,2242028,17531,18144,0.9662,BlueJackets,51152,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
DAL,Dallas Stars,Central,8477157,18148,18532,0.9793,DallasStars,61481,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
DET,Detroit Red Wings,Atlantic,4390913,18843,19515,0.9656,DetroitRedWings,129400,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
EDM,Edmonton Oilers,Pacific,1418118,18347,18347,1.0000,EdmontonOilers,104368,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
FLA,Florida Panthers,Atlantic,6391072,19417,19250,1.0087,FloridaPanthers,34946,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,"plays in Sunrise, FL (Miami MSA)"
LA,Los Angeles Kings,Pacific,12844441,18204,18230,0.9986,losangeleskings,39760,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,shares Los Angeles MSA (Anaheim in Greater LA)
MIN,Minnesota Wild,Central,3790295,18790,17954,1.0466,wildhockey,59638,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
MON,Montreal Canadiens,Atlantic,4291732,21105,20962,1.0068,Habs,101589,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
NAS,Nashville Predators,Central,2197416,17345,17159,1.0108,Predators,40283,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
NJ,New Jersey Devils,Metropolitan,20112448,16514,16514,1.0000,devils,58171,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,Newark is inside the New York-Newark-Jersey City MSA; carries NY metro figure
NYI,New York Islanders,Metropolitan,20112448,17255,17255,1.0000,NewYorkIslanders,62038,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,shares New York MSA (two-team market per pre-reg)
NYR,New York Rangers,Metropolitan,20112448,18006,18006,1.0000,rangers,78529,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,shares New York MSA (two-team market per pre-reg)
OTT,Ottawa Senators,Atlantic,1488307,18309,19347,0.9463,OttawaSenators,45403,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
PHI,Philadelphia Flyers,Metropolitan,6329118,18589,19538,0.9514,Flyers,69165,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
PIT,Pittsburgh Penguins,Metropolitan,2421992,17452,18387,0.9491,penguins,118110,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
SJ,San Jose Sharks,Pacific,1984473,14472,17435,0.8301,SanJoseSharks,67068,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
SEA,Seattle Kraken,Pacific,4161883,17151,17151,1.0000,SeattleKraken,48541,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
STL,St Louis Blues,Central,2814421,18096,18096,1.0000,stlouisblues,57466,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
TB,Tampa Bay Lightning,Atlantic,3418895,19092,19092,1.0000,TampaBayLightning,63008,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
TOR,Toronto Maple Leafs,Atlantic,6202225,18572,18800,0.9879,leafs,359680,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
UTA,Utah Mammoth,Central,1308377,16044,16020,1.0015,utahmammoth,2268,2025-07-02|2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,"Utah Mammoth, relocated to Salt Lake City 2024-25; subscribers = utahmammoth + UtahHockey (A22 rename rule); relocation novelty disclosed"
VAN,Vancouver Canucks,Pacific,2642825,18834,18910,0.9960,canucks,189560,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
VEG,Vegas Golden Knights,Pacific,2407226,17973,17367,1.0349,goldenknights,45693,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
WAS,Washington Capitals,Metropolitan,6465724,18573,18573,1.0000,caps,67180,2025-02-15,metro_population|team_sub_subscribers|attendance_pct_capacity,
WPG,Winnipeg Jets,Central,834678,14775,15321,0.9644,winnipegjets,77402,2025-02-14,metro_population|team_sub_subscribers|attendance_pct_capacity,
