player_id,full_name,nhl_player_id,wikipedia_slug_chosen,wikidata_qid,wiki_match,wd_label,wd_nhl_id,wd_birth,nhl_birth,verdict
1,Leo Carlsson,8484153,Leo_Carlsson,Q115703445,occupation,Leo Carlsson,8484153,2004,,ok_nhl_id
2,Nathan Gaucher,8483444,Nathan_Gaucher,Q112967545,occupation,Nathan Gaucher,8483444,2003,,ok_nhl_id
3,Cutter Gauthier,8483445,Cutter_Gauthier,Q81903054,occupation,Cutter Gauthier,8483445,2004,,ok_nhl_id
4,Mikael Granlund,8475798,Mikael_Granlund,Q520141,occupation,Mikael Granlund,8475798,1992,,ok_nhl_id
5,Jansen Harkins,8478424,Jansen_Harkins,Q20066440,occupation,Jansen Harkins,8478424,1997,,ok_nhl_id
6,Ross Johnston,8477527,Ross_Johnston,Q24006114,occupation,Ross Johnston,8477527,1994,,ok_nhl_id
7,Alex Killorn,8473986,Alex_Killorn,Q4719307,occupation,Alexander Killorn,8473986,1989,,ok_nhl_id
8,Chris Kreider,8475184,Chris_Kreider,Q465017,occupation,Chris Kreider,8475184,1991,,ok_nhl_id
9,Mason McTavish,8482745,Mason_McTavish,Q107684199,occupation,Mason McTavish,8482745,2003,,ok_nhl_id
10,Ryan Poehling,8480068,Ryan_Poehling,Q30538929,occupation,Ryan Poehling,8480068,1999,,ok_nhl_id
11,Beckett Sennecke,8484762,Beckett_Sennecke,Q126930004,occupation,Beckett Sennecke,8484762,2006,,ok_nhl_id
12,Troy Terry,8478873,Troy_Terry,Q21600096,occupation,Troy Terry,8478873,1997,,ok_nhl_id
13,Frank Vatrano,8478366,Frank_Vatrano,Q21484331,occupation,Frank Vatrano,8478366,1994,,ok_nhl_id
14,Jeffrey Viel,8479705,Jeffrey_Viel,Q106291776,occupation,Jeffrey Viel,8479705,1997,,ok_nhl_id
15,Tim Washe,8485512,Tim_Washe,Q133885139,occupation,Tim Washe,8485512,2001,,ok_nhl_id
16,John Carlson,8474590,John_Carlson_(ice_hockey),Q1364621,occupation,John Carlson,8474590,1990,,ok_nhl_id
17,Radko Gudas,8475462,Radko_Gudas,Q3501342,occupation,Radko Gudas,8475462,1990,,ok_nhl_id
18,Drew Helleson,8481563,Drew_Helleson,Q110553837,occupation,Drew Helleson,8481563,2001,,ok_nhl_id
19,Tyson Hinds,8482731,,,none,,,,,unverified
20,Jackson LaCombe,8481605,Jackson_LaCombe,Q108556047,occupation,Jackson LaCombe,8481605,2001,,ok_nhl_id
21,Pavel Mintyukov,8483490,Pavel_Mintyukov,Q112967556,occupation,Pavel Mintyukov,8483490,2003,,ok_nhl_id
22,Ian Moore,8482178,Ian_Moore_(ice_hockey),Q133869438,occupation,Ian Moore,8482178,2002,,ok_nhl_id
23,Jacob Trouba,8476885,Jacob_Trouba,Q3133586,occupation,Jacob Trouba,8476885,1994,,ok_nhl_id
24,Olen Zellweger,8482803,Olen_Zellweger,Q124350295,occupation,Olen Zellweger,8482803,2003,,ok_nhl_id
25,Viktor Arvidsson,8478042,Viktor_Arvidsson,Q2645491,occupation,Viktor Arvidsson,8478042,1993,,ok_nhl_id
26,Michael Eyssimont,8479591,Mikey_Eyssimont,Q111588813,occupation,Michael Eyssimont,8479591,1996,,ok_nhl_id
27,Morgan Geekie,8479987,Morgan_Geekie,Q87355712,occupation,Morgan Geekie,8479987,1998,,ok_nhl_id
28,James Hagens,8485395,James_Hagens,Q124303296,occupation,James Hagens,,2006,2006,ok_dob
29,Tanner Jeannot,8479661,Tanner_Jeannot,Q105741085,occupation,Tanner Jeannot,8479661,1997,,ok_nhl_id
30,Mark Kastelic,8480355,Mark_Kastelic,Q110751049,occupation,Mark Kastelic,8480355,1999,,ok_nhl_id
31,Marat Khusnutdinov,8482177,Marat_Khusnutdinov,Q100166282,occupation,Marat Khusnutdinov,8482177,2002,,ok_nhl_id
32,Sean Kuraly,8476374,Sean_Kuraly,Q27702898,occupation,Sean Kuraly,8476374,1993,,ok_nhl_id
33,Elias Lindholm,8477496,Elias_Lindholm,Q3050933,occupation,Elias Lindholm,8477496,1994,,ok_nhl_id
34,Fraser Minten,8483489,Fraser_Minten,Q115176275,occupation,Fraser Minten,8483489,2004,,ok_nhl_id
35,Casey Mittelstadt,8479999,Casey_Mittelstadt,Q28154979,occupation,Casey Mittelstadt,8479999,1998,,ok_nhl_id
36,David Pastrnak,8477956,David_Pastrňák,Q16224594,occupation,David Pastrňák,8477956,1996,,ok_nhl_id
37,Lukas Reichel,8482117,Lukas_Reichel,Q70006257,occupation,Lukas Reichel,8482117,2002,,ok_nhl_id
38,Alex Steeves,8482634,Alex_Steeves,Q109984157,occupation,Alex Steeves,8482634,1999,,ok_nhl_id
39,Pavel Zacha,8478401,Pavel_Zacha,Q16225756,occupation,Pavel Zacha,8478401,1997,,ok_nhl_id
40,Jonathan Aspirot,8481219,Jonathan_Aspirot,Q90428177,occupation,Jonathan Aspirot,8481219,1999,,ok_nhl_id
41,Jordan Harris,8480887,Jordan_Harris_(ice_hockey),Q111473583,occupation,Jordan Harris,8480887,2000,,ok_nhl_id
42,Henri Jokiharju,8480035,Henri_Jokiharju,Q24827212,occupation,Henri Jokiharju,8480035,1999,,ok_nhl_id
43,Hampus Lindholm,8476854,Hampus_Lindholm,Q3077684,occupation,Hampus Lindholm,8476854,1994,,ok_nhl_id
44,Mason Lohrei,8482511,Mason_Lohrei,Q112150988,occupation,Mason Lohrei,8482511,2001,,ok_nhl_id
45,Charlie McAvoy,8479325,Charlie_McAvoy,Q23926004,occupation,Charles McAvoy,8479325,1997,,ok_nhl_id
46,Andrew Peeke,8479369,Andrew_Peeke,Q77579782,occupation,Andrew Peeke,8479369,1998,,ok_nhl_id
47,Nikita Zadorov,8477507,Nikita_Zadorov,Q3341513,occupation,Nikita Zadorov,8477507,1995,,ok_nhl_id
48,Zach Benson,8484145,Zach_Benson,Q120015681,occupation,Zach Benson,8484145,2005,,ok_nhl_id
49,Sam Carrick,8475842,Sam_Carrick,Q18448664,occupation,Sam Carrick,8475842,1992,,ok_nhl_id
50,Justin Danforth,8479941,Justin_Danforth,Q16228493,occupation,Justin Danforth,8479941,1993,,ok_nhl_id
51,Josh Doan,8482659,Josh_Doan,Q107637219,occupation,Josh Doan,8482659,2002,,ok_nhl_id
52,Josh Dunne,8482623,Josh_Dunne,Q106518567,occupation,Josh Dunne,8482623,1998,,ok_nhl_id
53,Jordan Greenway,8478413,Jordan_Greenway,Q20066659,occupation,Jordan Greenway,8478413,1997,,ok_nhl_id
54,Konsta Helenius,8484797,Konsta_Helenius,Q115777734,occupation,Konsta Helenius,8484797,2006,,ok_nhl_id
55,Tyson Kozak,8482896,Tyson_Kozak,Q131397916,occupation,Tyson Kozak,8482896,2002,,ok_nhl_id
56,Peyton Krebs,8481522,Peyton_Krebs,Q64781760,occupation,Peyton Krebs,8481522,2001,,ok_nhl_id
57,Jiri Kulich,8483468,Jiří_Kulich,Q110281931,occupation,Jiří Kulich,8483468,2004,,ok_nhl_id
58,Beck Malenstyn,8479359,Beck_Malenstyn,Q75842732,occupation,Beck Malenstyn,8479359,1998,,ok_nhl_id
59,Ryan McLeod,8480802,Ryan_McLeod,Q106627447,occupation,Ryan McLeod,8480802,1999,,ok_nhl_id
60,Josh Norris,8480064,Josh_Norris,Q30542583,occupation,Josh Norris,8480064,1999,,ok_nhl_id
61,Noah Ostlund,8483500,Noah_Östlund,Q112967549,occupation,Noah Östlund,8483500,2004,,ok_nhl_id
62,Tanner Pearson,8476871,Tanner_Pearson,Q3515234,occupation,Tanner Pearson,8476871,1992,,ok_nhl_id
63,Jack Quinn,8482097,Jack_Quinn_(ice_hockey),Q100149533,occupation,Jack Quinn,8482097,2001,,ok_nhl_id
64,Tage Thompson,8479420,Tage_Thompson,Q24805735,occupation,Tage Thompson,8479420,1997,,ok_nhl_id
65,Alex Tuch,8477949,Alex_Tuch,Q17181019,occupation,Alex Tuch,8477949,1996,,ok_nhl_id
66,Jason Zucker,8475722,Jason_Zucker,Q1684008,occupation,Jason Zucker,8475722,1992,,ok_nhl_id
67,Bowen Byram,8481524,Bowen_Byram,Q64736735,occupation,Bowen Byram,8481524,2001,,ok_nhl_id
68,Rasmus Dahlin,8480839,Rasmus_Dahlin,Q27839454,occupation,Rasmus Dahlin,8480839,2000,,ok_nhl_id
69,Ryan Johnson,8481564,"Ryan_Johnson_(ice_hockey,_born_2001)",Q65030547,nhl_id,Ryan Johnson,8481564,2001,,ok_nhl_id
70,Michael Kesselring,8480891,Michael_Kesselring,Q116977379,occupation,Michael Kesselring,8480891,2000,,ok_nhl_id
71,Zach Metsa,8484305,Zach_Metsa,Q111547990,occupation,Zach Metsa,8484305,1998,,ok_nhl_id
72,Owen Power,8482671,Owen_Power,Q102226150,occupation,Owen Power,8482671,2002,,ok_nhl_id
73,Mattias Samuelsson,8480807,Mattias_Samuelsson,Q56301360,occupation,Mattias Samuelsson,8480807,2000,,ok_nhl_id
74,Luke Schenn,8474568,Luke_Schenn,Q1390315,occupation,Luke Schenn,8474568,1989,,ok_nhl_id
75,Logan Stanley,8479378,Logan_Stanley,Q24804710,occupation,Logan Stanley,8479378,1998,,ok_nhl_id
76,Conor Timmins,8479982,Conor_Timmins,Q69818578,occupation,Conor Timmins,8479982,1998,,ok_nhl_id
77,Mikael Backlund,8474150,Mikael_Backlund,Q1286038,occupation,Mikael Backlund,8474150,1989,,ok_nhl_id
78,John Beecher,8481556,John_Beecher_(ice_hockey),Q65030545,occupation,John Beecher,8481556,2001,,ok_nhl_id
79,Blake Coleman,8476399,Blake_Coleman,Q8840022,occupation,Blake Coleman,8476399,1991,,ok_nhl_id
80,Matt Coronato,8482679,Matt_Coronato,Q107630709,occupation,Matthew Coronato,8482679,2002,,ok_nhl_id
81,Joel Farabee,8480797,Joel_Farabee,Q55176953,occupation,Joel Farabee,8480797,2000,,ok_nhl_id
82,Morgan Frost,8480028,Morgan_Frost,Q30572123,occupation,Morgan Frost,8480028,1999,,ok_nhl_id
83,Matvei Gridin,8484860,Matvei_Gridin,Q126932921,occupation,Matvei Gridin,8484860,2006,,ok_nhl_id
84,Tyson Gross,8486056,Tyson_Gross,Q138774598,occupation,Tyson Gross,8486056,200,,ok_nhl_id
85,Samuel Honzek,8484180,Samuel_Honzek,Q110276609,occupation,Samuel Honzek,8484180,2004,,ok_nhl_id
86,Jonathan Huberdeau,8476456,Jonathan_Huberdeau,Q984221,occupation,Jonathan Huberdeau,8476456,1993,,ok_nhl_id
87,Rory Kerins,8482209,Rory_Kerins,Q122477016,occupation,Rory Kerins,8482209,2002,,ok_nhl_id
88,Adam Klapka,8483609,Adam_Klapka,Q118247936,occupation,Adam Klapka,8483609,2000,,ok_nhl_id
89,Ryan Lomberg,8479066,Ryan_Lomberg,Q47505541,occupation,Ryan Lomberg,8479066,1994,,ok_nhl_id
90,Victor Olofsson,8478109,Victor_Olofsson,Q16224490,occupation,Victor Olofsson,8478109,1995,,ok_nhl_id
91,Martin Pospisil,8481028,Martin_Pospíšil_(ice_hockey),Q98605613,occupation,Martin Pospíšil,8481028,1999,,ok_nhl_id
92,Yegor Sharangovich,8481068,Yegor_Sharangovich,Q29788539,occupation,Yegor Sharangovich,8481068,1998,,ok_nhl_id
93,Ryan Strome,8476458,Ryan_Strome,Q984027,occupation,Ryan Strome,8476458,1993,,ok_nhl_id
94,Aydar Suniev,8484234,Aydar_Suniev,Q133895581,occupation,Aydar Suniev,8484234,2004,,ok_nhl_id
95,Connor Zary,8482074,Connor_Zary,Q100150920,occupation,Connor Zary,8482074,2001,,ok_nhl_id
96,Kevin Bahl,8480860,Kevin_Bahl,Q79885347,occupation,Kevin Bahl,8480860,2000,,ok_nhl_id
97,Jake Bean,8479402,Jake_Bean,Q23880275,occupation,Jake Bean,8479402,1998,,ok_nhl_id
98,Hunter Brzustewicz,8484150,Hunter_Brzustewicz,Q81902087,occupation,Hunter Brzustewicz,8484150,2004,,ok_nhl_id
99,Joel Hanley,8477810,Joel_Hanley,Q23728749,occupation,Joel Hanley,8477810,1991,,ok_nhl_id
100,Yan Kuznetsov,8482165,Yan_Kuznetsov,Q122477025,occupation,Yan Kuznetsov,8482165,2002,,ok_nhl_id
101,Olli Maatta,8476874,Olli_Määttä,Q3351500,occupation,Olli Määttä,8476874,1994,,ok_nhl_id
102,Brayden Pachal,8481167,Brayden_Pachal,Q110810885,occupation,Brayden Pachal,8481167,1999,,ok_nhl_id
103,Zayne Parekh,8484768,Zayne_Parekh,Q124809440,occupation,Zayne Parekh,8484768,2006,,ok_nhl_id
104,Zach Whitecloud,8480727,Zach_Whitecloud,Q51954829,occupation,Zach Whitecloud,8480727,1996,,ok_nhl_id
105,Abram Wiebe,8483709,,,none,,,,,unverified
106,Sebastian Aho,8478427,Sebastian_Aho,Q16158994,occupation,Sebastian Aho,8478427,1997,,ok_nhl_id
107,Jackson Blake,8482809,Jackson_Blake,Q125102952,occupation,Jackson Blake,8482809,2003,,ok_nhl_id
108,William Carrier,8477478,William_Carrier,Q16200683,occupation,William Carrier,8477478,1994,,ok_nhl_id
109,Nicolas Deslauriers,8475235,Nicolas_Deslauriers,Q15964625,occupation,Nicolas Deslauriers,8475235,1991,,ok_nhl_id
110,Nikolaj Ehlers,8477940,Nikolaj_Ehlers,Q15823679,occupation,Nikolaj Ehlers,8477940,1996,,ok_nhl_id
111,Taylor Hall,8475791,Taylor_Hall,Q721993,occupation,Taylor Hall,8475791,1991,,ok_nhl_id
112,Mark Jankowski,8476873,Mark_Jankowski,Q59402,occupation,Mark Jankowski,8476873,1994,,ok_nhl_id
113,Seth Jarvis,8482093,Seth_Jarvis,Q100149493,occupation,Seth Jarvis,8482093,2002,,ok_nhl_id
114,Jesperi Kotkaniemi,8480829,Jesperi_Kotkaniemi,Q39400296,occupation,Jesperi Kotkaniemi,8480829,2000,,ok_nhl_id
115,Jordan Martinook,8476921,Jordan_Martinook,Q16229653,occupation,Jordan Martinook,8476921,1992,,ok_nhl_id
116,Eric Robinson,8480762,Eric_Robinson_(ice_hockey),Q52702779,occupation,Eric Robinson,8480762,1995,,ok_nhl_id
117,Jordan Staal,8473533,Jordan_Staal,Q447270,occupation,Jordan Staal,8473533,1988,,ok_nhl_id
118,Logan Stankoven,8482702,Logan_Stankoven,Q112801080,occupation,Logan Stankoven,8482702,2003,,ok_nhl_id
119,Andrei Svechnikov,8480830,Andrei_Svechnikov,Q34489864,occupation,Andrei Svechnikov,8480830,2000,,ok_nhl_id
120,Jalen Chatfield,8478970,Jalen_Chatfield,Q104975388,occupation,Jalen Chatfield,8478970,1996,,ok_nhl_id
121,Shayne Gostisbehere,8476906,Shayne_Gostisbehere,Q16228901,occupation,Shayne Gostisbehere,8476906,1993,,ok_nhl_id
122,K'Andre Miller,8480817,K'Andre_Miller,Q55183451,occupation,K'Andre Miller,8480817,2000,,ok_nhl_id
123,Alexander Nikishin,8482100,Alexander_Nikishin,Q89889168,occupation,Alexander Nikishin,8482100,2001,,ok_nhl_id
124,Mike Reilly,8476422,Mike_Reilly_(ice_hockey),Q16224772,occupation,Mike Reilly,8476422,1993,,ok_nhl_id
125,Jaccob Slavin,8476958,Jaccob_Slavin,Q21045691,occupation,Jaccob Slavin,8476958,1994,,ok_nhl_id
126,Sean Walker,8480336,Sean_Walker_(ice_hockey),Q57758280,occupation,Sean Walker,8480336,1994,,ok_nhl_id
127,Connor Bedard,8484144,Connor_Bedard,Q102425753,occupation,Connor Bedard,8484144,2005,,ok_nhl_id
128,Tyler Bertuzzi,8477479,Tyler_Bertuzzi,Q24006730,occupation,Tyler Bertuzzi,8477479,1995,,ok_nhl_id
129,Sacha Boisvert,8484793,Sacha_Boisvert,Q126934335,occupation,Sacha Boisvert,8484793,2006,,ok_nhl_id
130,Andre Burakovsky,8477444,André_Burakovsky,Q13581457,occupation,Andre Burakovsky,8477444,1995,,ok_nhl_id
131,Ryan Donato,8477987,Ryan_Donato,Q17385847,occupation,Ryan Donato,8477987,1996,,ok_nhl_id
132,Anton Frondell,8485391,Anton_Frondell,Q125964662,occupation,Anton Frondell,8485391,2007,,ok_nhl_id
133,Ryan Greene,8483450,Ryan_Greene_(ice_hockey),Q133892630,occupation,Ryan Greene,8483450,2003,,ok_nhl_id
134,Sam Lafferty,8478043,Sam_Lafferty,Q70098297,occupation,Sam Lafferty,8478043,1995,,ok_nhl_id
135,Nick Lardis,8484185,Nick_Lardis,Q137381676,occupation,Nick Lardis,8484185,2005,,ok_nhl_id
136,Andrew Mangiapane,8478233,Andrew_Mangiapane,Q20745013,occupation,Andrew Mangiapane,8478233,1996,,ok_nhl_id
137,Ilya Mikheyev,8481624,Ilya_Mikheyev,Q25388037,occupation,Ilya Mikheyev,8481624,1994,,ok_nhl_id
138,Oliver Moore,8484197,Oliver_Moore,Q120015682,occupation,Oliver Moore,8484197,2005,,ok_nhl_id
139,Frank Nazar,8483493,Frank_Nazar,Q81905716,occupation,Frank Nazar,8483493,2004,,ok_nhl_id
140,Landon Slaggert,8482172,Landon_Slaggert,Q124823562,occupation,Landon Slaggert,8482172,2002,,ok_nhl_id
141,Teuvo Teravainen,8476882,Teuvo_Teräväinen,Q3519286,occupation,Teuvo Teräväinen,8476882,1994,,ok_nhl_id
142,Dominic Toninato,8476952,Dominic_Toninato,Q43349759,occupation,Dominic Toninato,8476952,1994,,ok_nhl_id
143,Louis Crevier,8481806,Louis_Crevier,Q123671144,occupation,Louis Crevier,8481806,2001,,ok_nhl_id
144,Ethan Del Mastro,8482807,Ethan_Del_Mastro,Q125462680,occupation,Ethan Del Mastro,8482807,2003,,ok_nhl_id
145,Matt Grzelcyk,8476891,Matt_Grzelcyk,Q19564299,occupation,Matt Grzelcyk,8476891,1994,,ok_nhl_id
146,Wyatt Kaiser,8482176,Wyatt_Kaiser,Q117215047,occupation,Wyatt Kaiser,8482176,2002,,ok_nhl_id
147,Kevin Korchinski,8483466,Kevin_Korchinski,Q112967557,occupation,Kevin Korchinski,8483466,2004,,ok_nhl_id
148,Artyom Levshunov,8484783,Artyom_Levshunov,Q122980144,occupation,Artyom Levshunov,8484783,2005,,ok_nhl_id
149,Sam Rinzel,8483506,Sam_Rinzel,Q112967559,occupation,Sam Rinzel,8483506,2004,,ok_nhl_id
150,Alex Vlasic,8481568,Alex_Vlasic,Q111310415,occupation,Alex Vlasic,8481568,2001,,ok_nhl_id
151,Zakhar Bardakov,8482947,Zakhar_Bardakov,Q105437939,occupation,Zakhar Bardakov,8482947,2001,,ok_nhl_id
152,Ross Colton,8479525,Ross_Colton,Q105672753,occupation,Ross Colton,8479525,1996,,ok_nhl_id
153,Jack Drury,8480835,Jack_Drury,Q88018838,occupation,Jack Drury,8480835,2000,,ok_nhl_id
154,Nazem Kadri,8475172,Nazem_Kadri,Q1852981,occupation,Nazem Kadri,8475172,1990,,ok_nhl_id
155,Parker Kelly,8480448,Parker_Kelly,Q106824020,occupation,Parker Kelly,8480448,1999,,ok_nhl_id
156,Joel Kiviranta,8481641,Joel_Kiviranta,Q16299903,occupation,Joel Kiviranta,8481641,1996,,ok_nhl_id
157,Gabriel Landeskog,8476455,Gabriel_Landeskog,Q715421,occupation,Gabriel Landeskog,8476455,1992,,ok_nhl_id
158,Artturi Lehkonen,8477476,Artturi_Lehkonen,Q2365562,occupation,Artturi Lehkonen,8477476,1995,,ok_nhl_id
159,Nathan MacKinnon,8477492,Nathan_MacKinnon,Q1966594,occupation,Nathan MacKinnon,8477492,1995,,ok_nhl_id
160,Martin Necas,8480039,Martin_Nečas,Q28057077,occupation,Martin Nečas,8480039,1999,,ok_nhl_id
161,Brock Nelson,8475754,Brock_Nelson,Q2925902,occupation,Brock Nelson,8475754,1991,,ok_nhl_id
162,Valeri Nichushkin,8477501,Valeri_Nichushkin,Q2365750,occupation,Valeri Nichushkin,8477501,1995,,ok_nhl_id
163,Logan O'Connor,8481186,Logan_O'Connor,Q60823183,occupation,Logan O'Connor,8481186,1996,,ok_nhl_id
164,Nicolas Roy,8478462,Nicolas_Roy,Q16224877,occupation,Nicolas Roy,8478462,1997,,ok_nhl_id
165,Jack Ahcan,8482072,Jack_Ahcan,Q106034953,occupation,Jack Ahcan,8482072,1997,,ok_nhl_id
166,Nick Blankenburg,8483565,Nick_Blankenburg,Q111598719,occupation,Nick Blankenburg,8483565,1998,,ok_nhl_id
167,Brent Burns,8470613,Brent_Burns,Q909711,occupation,Brent Burns,8470613,1985,,ok_nhl_id
168,Brett Kulak,8476967,Brett_Kulak,Q16229397,occupation,Brett Kulak,8476967,1994,,ok_nhl_id
169,Cale Makar,8480069,Cale_Makar,Q29342308,occupation,Cale Makar,8480069,1998,,ok_nhl_id
170,Sam Malinski,8484258,Sam_Malinski,Q117787535,occupation,Sam Malinski,8484258,1998,,ok_nhl_id
171,Josh Manson,8476312,Josh_Manson,Q16229630,occupation,Josh Manson,8476312,1991,,ok_nhl_id
