player_id,full_name,wikidata_qid,editions_available,editions_fetched,wiki_intl_12mo,per_edition_json,window_start,window_end,fetch_date,intl_match,n_redirect_titles,redirect_views_12mo,redirect_share
1,Leo Carlsson,Q115703445,cs|fi|fr|ru|sv,cs|fi|fr|ru|sv,41414,"{""cs"": 2349, ""fi"": 2866, ""fr"": 2122, ""ru"": 6166, ""sv"": 27911}",20250418,20260417,2026-07-22,ok,0,0,0.000000
2,Nathan Gaucher,Q112967545,fr|sv,fr|sv,2246,"{""fr"": 2167, ""sv"": 79}",20250418,20260417,2026-07-22,ok,1,15,0.006679
3,Cutter Gauthier,Q81903054,cs|fi|fr|ru|sv,cs|fi|fr|ru|sv,18865,"{""cs"": 89, ""fi"": 1965, ""fr"": 8771, ""ru"": 4609, ""sv"": 3431}",20250418,20260417,2026-07-22,ok,1,140,0.007421
4,Mikael Granlund,Q520141,cs|de|fi|fr|ru|sk|sv,cs|de|fi|fr|ru|sk|sv,117416,"{""cs"": 2823, ""de"": 5600, ""fi"": 85139, ""fr"": 3182, ""ru"": 12956, ""sk"": 1776, ""sv"": 5940}",20250418,20260417,2026-07-22,ok,5,306,0.002606
5,Jansen Harkins,Q20066440,fi|fr|sv,fi|fr|sv,1102,"{""fi"": 491, ""fr"": 379, ""sv"": 232}",20250418,20260417,2026-07-22,ok,0,0,0.000000
6,Ross Johnston,Q24006114,de|fi|fr|sv,de|fi|fr|sv,1594,"{""de"": 511, ""fi"": 339, ""fr"": 462, ""sv"": 282}",20250418,20260417,2026-07-22,ok,0,0,0.000000
7,Alex Killorn,Q4719307,de|fi|fr|ru|sv,de|fi|fr|ru|sv,6755,"{""de"": 1041, ""fi"": 1190, ""fr"": 1198, ""ru"": 2832, ""sv"": 494}",20250418,20260417,2026-07-22,ok,8,538,0.079645
8,Chris Kreider,Q465017,de|fi|fr|ru|sv,de|fi|fr|ru|sv,11950,"{""de"": 2203, ""fi"": 1310, ""fr"": 1677, ""ru"": 5916, ""sv"": 844}",20250418,20260417,2026-07-22,ok,3,565,0.047280
9,Mason McTavish,Q107684199,cs|de|fi|fr|ru|sv,de|fi|fr|ru|sv,12462,"{""de"": 2129, ""fi"": 1440, ""fr"": 4413, ""ru"": 3932, ""sv"": 548}",20250418,20260417,2026-07-22,ok,3,101,0.008105
10,Ryan Poehling,Q30538929,de|fi|fr|sv,de|fi|fr|sv,4974,"{""de"": 953, ""fi"": 905, ""fr"": 2765, ""sv"": 351}",20250418,20260417,2026-07-22,ok,1,35,0.007037
11,Beckett Sennecke,Q126930004,cs|fi|fr|ru|sv,fi|fr|ru|sv,5192,"{""fi"": 855, ""fr"": 1225, ""ru"": 2666, ""sv"": 446}",20250418,20260417,2026-07-22,ok,1,507,0.097650
12,Troy Terry,Q21600096,de|fi|fr|ru|sv,de|fi|fr|ru|sv,4749,"{""de"": 677, ""fi"": 619, ""fr"": 651, ""ru"": 2460, ""sv"": 342}",20250418,20260417,2026-07-22,ok,2,84,0.017688
13,Frank Vatrano,Q21484331,de|fi|fr|ru|sv,de|fi|fr|ru|sv,4015,"{""de"": 678, ""fi"": 649, ""fr"": 573, ""ru"": 1797, ""sv"": 318}",20250418,20260417,2026-07-22,ok,4,161,0.040100
14,Jeffrey Viel,Q106291776,de|fr|sv,de|fr|sv,3212,"{""de"": 535, ""fr"": 2456, ""sv"": 221}",20250418,20260417,2026-07-22,ok,8,280,0.087173
15,Tim Washe,Q133885139,sv,sv,244,"{""sv"": 244}",20250418,20260417,2026-07-22,ok,2,35,0.143443
