player_id,full_name,cap_hit_M,season,source_url,fetched_at
1,Connor McDavid,12.5000,2025-26,https://capwages.com/players/connor-mcdavid,2026-05-20T20:42:16.332179Z
2,Nathan MacKinnon,12.6000,2025-26,https://capwages.com/players/nathan-mackinnon,2026-05-20T20:42:16.332179Z
3,Cale Makar,9.0000,2025-26,https://capwages.com/players/cale-makar,2026-05-20T20:42:16.332179Z
4,Leon Draisaitl,14.0000,2025-26,https://capwages.com/players/leon-draisaitl,2026-05-20T20:42:16.332179Z
5,Sidney Crosby,8.7000,2025-26,https://capwages.com/players/sidney-crosby,2026-05-20T20:42:16.332179Z
6,Auston Matthews,13.2500,2025-26,https://capwages.com/players/auston-matthews,2026-05-20T20:42:16.332179Z
7,Nikita Kucherov,9.5000,2025-26,https://capwages.com/players/nikita-kucherov,2026-05-20T20:42:16.332179Z
8,Brad Marchand,5.2500,2025-26,https://capwages.com/players/brad-marchand,2026-05-27T16:15:20.795074Z
9,Matthew Tkachuk,9.5000,2025-26,https://capwages.com/players/matthew-tkachuk,2026-05-20T20:42:16.332179Z
10,Brady Tkachuk,8.2057,2025-26,https://capwages.com/players/brady-tkachuk,2026-05-20T20:42:16.332179Z
11,Ryan Reaves,1.3500,2025-26,https://capwages.com/players/ryan-reaves,2026-05-20T20:42:16.332179Z
12,Mitch Marner,12.0000,2025-26,https://capwages.com/players/mitch-marner,2026-05-20T20:42:16.332179Z
13,Jack Hughes,8.0000,2025-26,https://capwages.com/players/jack-hughes,2026-05-20T20:42:16.332179Z
14,Connor Bedard,0.9500,2025-26,https://capwages.com/players/connor-bedard,2026-05-20T20:42:16.332179Z
