player_id,full_name,nhl_player_id,team_code,position,age,ppg,toi_per_game,fetch_date
1,Connor McDavid,8478402,EDM,C,29,1.6829,22.983,2026-05-20
2,Nathan MacKinnon,8477492,COL,C,30,1.5875,22.267,2026-05-20
3,Cale Makar,8480069,COL,D,27,1.0533,24.85,2026-05-20
4,Leon Draisaitl,8477934,EDM,C,30,1.4923,21.583,2026-05-20
5,Sidney Crosby,8471675,PIT,C,38,1.0882,19.233,2026-05-20
6,Auston Matthews,8479318,TOR,C,28,0.8833,20.8,2026-05-20
7,Nikita Kucherov,8476453,TBL,R,32,1.7105,20.333,2026-05-20
8,Brad Marchand,8473419,FLA,L,38,1.0385,17.733,2026-05-20
9,Matthew Tkachuk,8479314,FLA,L,28,1.0968,18.3,2026-05-20
10,Brady Tkachuk,8480801,OTT,L,26,0.9833,16.967,2026-05-20
11,Ryan Reaves,8471817,SJS,R,39,0.06,7.8,2026-05-20
12,Mitch Marner,8478483,VGK,R,29,0.9877,19.95,2026-05-20
13,Jack Hughes,8481559,NJD,C,25,1.2623,21.317,2026-05-20
14,Connor Bedard,8484144,CHI,C,20,1.087,20.867,2026-05-20
