player_id,full_name,query,trends_12mo,n_weeks,fetch_date
1,Connor McDavid,Connor McDavid,25.5094,53,2026-05-20
2,Nathan MacKinnon,Nathan MacKinnon,16.7547,53,2026-05-20
3,Cale Makar,Cale Makar,19.3962,53,2026-05-20
4,Leon Draisaitl,Leon Draisaitl,29.0000,53,2026-05-20
5,Sidney Crosby,Sidney Crosby,13.2642,53,2026-05-20
6,Auston Matthews,Auston Matthews,15.2830,53,2026-05-20
7,Nikita Kucherov,Nikita Kucherov,23.0943,53,2026-05-20
8,Brad Marchand,Brad Marchand,12.2075,53,2026-05-20
9,Matthew Tkachuk,Matthew Tkachuk,15.0566,53,2026-05-20
10,Brady Tkachuk,Brady Tkachuk,9.5849,53,2026-05-20
11,Ryan Reaves,Ryan Reaves,23.2830,53,2026-05-20
12,Mitch Marner,Mitch Marner,12.0755,53,2026-05-20
13,Jack Hughes,Jack Hughes,3.6604,53,2026-05-20
14,Connor Bedard,Connor Bedard,32.4717,53,2026-05-20
