player_id,full_name,wikipedia_slug,wiki_12mo,fetch_date,window_start,window_end
1,Connor McDavid,Connor_McDavid,1312070,2026-05-20,20250519,20260519
2,Nathan MacKinnon,Nathan_MacKinnon,510093,2026-05-20,20250519,20260519
3,Cale Makar,Cale_Makar,394684,2026-05-20,20250519,20260519
4,Leon Draisaitl,Leon_Draisaitl,475963,2026-05-20,20250519,20260519
5,Sidney Crosby,Sidney_Crosby,1940517,2026-05-20,20250519,20260519
6,Auston Matthews,Auston_Matthews,709591,2026-05-20,20250519,20260519
7,Nikita Kucherov,Nikita_Kucherov,201666,2026-05-20,20250519,20260519
8,Brad Marchand,Brad_Marchand,1135601,2026-05-20,20250519,20260519
9,Matthew Tkachuk,Matthew_Tkachuk,905663,2026-05-20,20250519,20260519
10,Brady Tkachuk,Brady_Tkachuk,664011,2026-05-20,20250519,20260519
11,Ryan Reaves,Ryan_Reaves,160244,2026-05-20,20250519,20260519
12,Mitch Marner,Mitch_Marner,518114,2026-05-20,20250519,20260519
13,Jack Hughes,Jack_Hughes,2563852,2026-05-20,20250519,20260519
14,Connor Bedard,Connor_Bedard,536220,2026-05-20,20250519,20260519
