player_id,full_name,wiki_decile,wiki_12mo,trends_12mo_name,query_mid,direct_query,direct_mean,direct_nonzero_weeks,direct_n_weeks,direct_status,related_status,related_commercial_hits
445,Drew Fortescue,1,23010,0.001018,/g/11lh2tndsb,Drew Fortescue jersey,0.0076,1,132,OK,NO_ROWS,
844,Isaiah George,1,20190,0.001018,/g/11fnrxb8xm,Isaiah George jersey,0.0076,1,132,OK,NO_ROWS,
851,Jacob Melanson,1,21678,0.000000,/g/11rcqqrtcq,Jacob Melanson jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
783,Alexander Barabanov,2,27001,0.001018,/m/011bjwnk,Alexander Barabanov jersey,0.0076,1,132,OK,NO_ROWS,
340,David Spacek,2,26049,0.014257,/g/11fhs9b8ss,David Spacek jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
858,Jan Rutta,2,37440,0.007128,/m/0_qj6qv,Jan Rutta jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
816,Dakota Mermis,3,48100,0.004073,/g/11f26mypp1,Dakota Mermis jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
887,Juuso Parssinen,3,40684,0.011202,/g/11h2g2135b,Juuso Parssinen jersey,0.0152,2,132,OK,NO_ROWS,
901,Mark Friedman,3,43616,0.002037,/g/11f60y_w5k,Mark Friedman jersey,0.0076,1,132,OK,NO_ROWS,
46,Andrew Peeke,4,55471,0.005092,/g/11fqctvx6_,Andrew Peeke jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
478,Carter Yakemchuk,4,56597,0.012220,/g/11sqg97slv,Carter Yakemchuk jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
406,Jonas Siegenthaler,4,55189,0.004073,/g/1yprtyw1x,Jonas Siegenthaler jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
704,Alexander Holtz,5,66693,0.019348,/g/11fl0fxj2s,Alexander Holtz jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
53,Jordan Greenway,5,74077,0.001018,/g/11btwtrbx5,Jordan Greenway jersey,0.0076,1,132,OK,NO_ROWS,
447,Vladislav Gavrikov,5,68325,0.009165,/m/013db_0v,Vladislav Gavrikov jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
315,Joel Eriksson Ek,6,99500,0.044807,/m/0130_l16,Joel Eriksson Ek jersey,0.0000,0,132,ALL_ZERO,OK,
696,Marcus Pettersson,6,83304,0.011202,/m/0ztj7c3,Marcus Pettersson jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
186,Miles Wood,6,85181,0.007128,/g/11cnwl47kp,Miles Wood jersey,0.0530,6,132,OK,NO_ROWS,
314,Bobby Brink,7,110771,0.014257,/g/11f67d6pt6,Bobby Brink jersey,0.0076,1,132,OK,NO_ROWS,
476,Jordan Spence,7,108674,0.006110,/g/11hdy_p5ft,Jordan Spence jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
325,Nico Sturm,7,106833,0.009165,/g/11fkqz54nh,Nico Sturm jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
86,Jonathan Huberdeau,8,181763,0.099796,/m/0gky575,Jonathan Huberdeau jersey,0.0152,2,132,OK,NO_ROWS,
586,Jordan Kyrou,8,144660,0.082485,/g/11f3r4r776,Jordan Kyrou jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
404,Simon Nemec,8,140284,0.059063,/g/11h5npccyf,Simon Nemec jersey,0.0076,1,132,OK,NO_ROWS,
649,Logan Cooley,9,249010,0.104888,/g/11gbj8nbdn,Logan Cooley jersey,0.0076,1,132,OK,NO_ROWS,
407,Mathew Barzal,9,258968,0.153768,/m/0115kdt1,Mathew Barzal jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
208,Wyatt Johnston,9,222928,0.092668,/g/11fj52s7l_,Wyatt Johnston jersey,0.0076,1,132,OK,NO_ROWS,
613,Corey Perry,10,1611970,0.642442,/m/072bxj,Corey Perry jersey,0.0682,7,132,OK,NO_ROWS,
427,Matthew Schaefer,10,695976,0.211813,/g/11ltt636v5,Matthew Schaefer jersey,0.1439,14,132,OK,NO_ROWS,
47,Nikita Zadorov,10,364725,0.148676,/m/0vppzf0,Nikita Zadorov jersey,0.0000,0,132,ALL_ZERO,NO_ROWS,
