team_code,team_sub,sub_submissions_window,submissions_per_1k_subs,activity_quality
ANA,anaheimducks,11454,367.79,ok
BOS,BostonBruins,11365,95.26,ok
BUF,sabres,18030,439.27,ok
CGY,CalgaryFlames,13192,191.11,ok
CAR,canes,17887,296.57,ok
CHI,hawks,8822,77.13,ok
COL,ColoradoAvalanche,15544,191.76,ok
CBJ,BlueJackets,8750,171.06,ok
DAL,DallasStars,13350,217.14,ok
DET,DetroitRedWings,13750,106.26,ok
EDM,EdmontonOilers,27478,263.28,ok
FLA,FloridaPanthers,18762,536.89,ok
LA,losangeleskings,9830,247.23,ok
MIN,wildhockey,10844,181.83,ok
MON,Habs,32649,321.38,ok
NAS,Predators,7720,191.64,ok
NJ,devils,14629,251.48,ok
NYI,NewYorkIslanders,9601,154.76,ok
NYR,rangers,20137,256.43,ok
OTT,OttawaSenators,21095,464.62,ok
PHI,Flyers,12944,187.15,ok
PIT,penguins,13039,110.4,ok
SJ,SanJoseSharks,15712,234.27,ok
SEA,SeattleKraken,10326,212.73,ok
STL,stlouisblues,6423,111.77,ok
TB,TampaBayLightning,12047,191.2,ok
TOR,leafs,24446,67.97,ok
UTA,utahmammoth,4063,1791.45,ok
VAN,canucks,32002,168.82,ok
VEG,goldenknights,6525,142.8,ok
WAS,caps,12689,188.88,ok
WPG,winnipegjets,6627,85.62,ok
