player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,roster_snapshot_date,fetch_date
1,Leo Carlsson,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8484153,Leo_Carlsson,leo-carlsson,nhl_roster_full,2026-06-17,2026-06-17
2,Nathan Gaucher,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8483444,Nathan_Gaucher,nathan-gaucher,nhl_roster_full,2026-06-17,2026-06-17
3,Cutter Gauthier,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8483445,Cutter_Gauthier,cutter-gauthier,nhl_roster_full,2026-06-17,2026-06-17
4,Mikael Granlund,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8475798,Mikael_Granlund,mikael-granlund,nhl_roster_full,2026-06-17,2026-06-17
5,Jansen Harkins,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8478424,Jansen_Harkins,jansen-harkins,nhl_roster_full,2026-06-17,2026-06-17
6,Ross Johnston,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8477527,Ross_Johnston,ross-johnston,nhl_roster_full,2026-06-17,2026-06-17
7,Alex Killorn,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8473986,Alex_Killorn,alex-killorn,nhl_roster_full,2026-06-17,2026-06-17
8,Chris Kreider,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8475184,Chris_Kreider,chris-kreider,nhl_roster_full,2026-06-17,2026-06-17
9,Mason McTavish,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8482745,Mason_McTavish,mason-mctavish,nhl_roster_full,2026-06-17,2026-06-17
10,Ryan Poehling,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8480068,Ryan_Poehling,ryan-poehling,nhl_roster_full,2026-06-17,2026-06-17
11,Beckett Sennecke,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8484762,Beckett_Sennecke,beckett-sennecke,nhl_roster_full,2026-06-17,2026-06-17
12,Troy Terry,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8478873,Troy_Terry,troy-terry,nhl_roster_full,2026-06-17,2026-06-17
13,Frank Vatrano,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8478366,Frank_Vatrano,frank-vatrano,nhl_roster_full,2026-06-17,2026-06-17
14,Jeffrey Viel,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8479705,Jeffrey_Viel,jeffrey-viel,nhl_roster_full,2026-06-17,2026-06-17
15,Tim Washe,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8485512,Tim_Washe,tim-washe,nhl_roster_full,2026-06-17,2026-06-17
16,John Carlson,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8474590,John_Carlson,john-carlson,nhl_roster_full,2026-06-17,2026-06-17
17,Radko Gudas,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8475462,Radko_Gudas,radko-gudas,nhl_roster_full,2026-06-17,2026-06-17
18,Drew Helleson,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8481563,Drew_Helleson,drew-helleson,nhl_roster_full,2026-06-17,2026-06-17
19,Tyson Hinds,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8482731,Tyson_Hinds,tyson-hinds,nhl_roster_full,2026-06-17,2026-06-17
20,Jackson LaCombe,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8481605,Jackson_LaCombe,jackson-lacombe,nhl_roster_full,2026-06-17,2026-06-17
21,Pavel Mintyukov,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8483490,Pavel_Mintyukov,pavel-mintyukov,nhl_roster_full,2026-06-17,2026-06-17
22,Ian Moore,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8482178,Ian_Moore,ian-moore,nhl_roster_full,2026-06-17,2026-06-17
23,Jacob Trouba,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8476885,Jacob_Trouba,jacob-trouba,nhl_roster_full,2026-06-17,2026-06-17
24,Olen Zellweger,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8482803,Olen_Zellweger,olen-zellweger,nhl_roster_full,2026-06-17,2026-06-17
25,Viktor Arvidsson,L,f1,f1:L,BOS,BOS,boston-bruins,Boston,8478042,Viktor_Arvidsson,viktor-arvidsson,nhl_roster_full,2026-06-17,2026-06-17
26,Michael Eyssimont,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8479591,Michael_Eyssimont,michael-eyssimont,nhl_roster_full,2026-06-17,2026-06-17
27,Morgan Geekie,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8479987,Morgan_Geekie,morgan-geekie,nhl_roster_full,2026-06-17,2026-06-17
28,James Hagens,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8485395,James_Hagens,james-hagens,nhl_roster_full,2026-06-17,2026-06-17
29,Tanner Jeannot,L,f1,f1:L,BOS,BOS,boston-bruins,Boston,8479661,Tanner_Jeannot,tanner-jeannot,nhl_roster_full,2026-06-17,2026-06-17
30,Mark Kastelic,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8480355,Mark_Kastelic,mark-kastelic,nhl_roster_full,2026-06-17,2026-06-17
31,Marat Khusnutdinov,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8482177,Marat_Khusnutdinov,marat-khusnutdinov,nhl_roster_full,2026-06-17,2026-06-17
32,Sean Kuraly,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8476374,Sean_Kuraly,sean-kuraly,nhl_roster_full,2026-06-17,2026-06-17
33,Elias Lindholm,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8477496,Elias_Lindholm,elias-lindholm,nhl_roster_full,2026-06-17,2026-06-17
34,Fraser Minten,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8483489,Fraser_Minten,fraser-minten,nhl_roster_full,2026-06-17,2026-06-17
35,Casey Mittelstadt,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8479999,Casey_Mittelstadt,casey-mittelstadt,nhl_roster_full,2026-06-17,2026-06-17
36,David Pastrnak,R,f1,f1:R,BOS,BOS,boston-bruins,Boston,8477956,David_Pastrnak,david-pastrnak,nhl_roster_full,2026-06-17,2026-06-17
37,Lukas Reichel,L,f1,f1:L,BOS,BOS,boston-bruins,Boston,8482117,Lukas_Reichel,lukas-reichel,nhl_roster_full,2026-06-17,2026-06-17
38,Alex Steeves,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8482634,Alex_Steeves,alex-steeves,nhl_roster_full,2026-06-17,2026-06-17
39,Pavel Zacha,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8478401,Pavel_Zacha,pavel-zacha,nhl_roster_full,2026-06-17,2026-06-17
40,Jonathan Aspirot,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8481219,Jonathan_Aspirot,jonathan-aspirot,nhl_roster_full,2026-06-17,2026-06-17
41,Jordan Harris,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8480887,Jordan_Harris,jordan-harris,nhl_roster_full,2026-06-17,2026-06-17
42,Henri Jokiharju,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8480035,Henri_Jokiharju,henri-jokiharju,nhl_roster_full,2026-06-17,2026-06-17
43,Hampus Lindholm,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8476854,Hampus_Lindholm,hampus-lindholm,nhl_roster_full,2026-06-17,2026-06-17
44,Mason Lohrei,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8482511,Mason_Lohrei,mason-lohrei,nhl_roster_full,2026-06-17,2026-06-17
45,Charlie McAvoy,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8479325,Charlie_McAvoy,charlie-mcavoy,nhl_roster_full,2026-06-17,2026-06-17
46,Andrew Peeke,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8479369,Andrew_Peeke,andrew-peeke,nhl_roster_full,2026-06-17,2026-06-17
47,Nikita Zadorov,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8477507,Nikita_Zadorov,nikita-zadorov,nhl_roster_full,2026-06-17,2026-06-17
48,Zach Benson,L,f1,f1:L,BUF,BUF,buffalo-sabres,Buffalo,8484145,Zach_Benson,zach-benson,nhl_roster_full,2026-06-17,2026-06-17
49,Sam Carrick,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8475842,Sam_Carrick,sam-carrick,nhl_roster_full,2026-06-17,2026-06-17
50,Justin Danforth,R,f1,f1:R,BUF,BUF,buffalo-sabres,Buffalo,8479941,Justin_Danforth,justin-danforth,nhl_roster_full,2026-06-17,2026-06-17
51,Josh Doan,R,f1,f1:R,BUF,BUF,buffalo-sabres,Buffalo,8482659,Josh_Doan,josh-doan,nhl_roster_full,2026-06-17,2026-06-17
52,Josh Dunne,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8482623,Josh_Dunne,josh-dunne,nhl_roster_full,2026-06-17,2026-06-17
53,Jordan Greenway,L,f1,f1:L,BUF,BUF,buffalo-sabres,Buffalo,8478413,Jordan_Greenway,jordan-greenway,nhl_roster_full,2026-06-17,2026-06-17
54,Konsta Helenius,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8484797,Konsta_Helenius,konsta-helenius,nhl_roster_full,2026-06-17,2026-06-17
55,Tyson Kozak,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8482896,Tyson_Kozak,tyson-kozak,nhl_roster_full,2026-06-17,2026-06-17
56,Peyton Krebs,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8481522,Peyton_Krebs,peyton-krebs,nhl_roster_full,2026-06-17,2026-06-17
57,Jiri Kulich,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8483468,Jiri_Kulich,jiri-kulich,nhl_roster_full,2026-06-17,2026-06-17
58,Beck Malenstyn,L,f1,f1:L,BUF,BUF,buffalo-sabres,Buffalo,8479359,Beck_Malenstyn,beck-malenstyn,nhl_roster_full,2026-06-17,2026-06-17
59,Ryan McLeod,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8480802,Ryan_McLeod,ryan-mcleod,nhl_roster_full,2026-06-17,2026-06-17
60,Josh Norris,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8480064,Josh_Norris,josh-norris,nhl_roster_full,2026-06-17,2026-06-17
61,Noah Ostlund,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8483500,Noah_Ostlund,noah-ostlund,nhl_roster_full,2026-06-17,2026-06-17
62,Tanner Pearson,L,f1,f1:L,BUF,BUF,buffalo-sabres,Buffalo,8476871,Tanner_Pearson,tanner-pearson,nhl_roster_full,2026-06-17,2026-06-17
63,Jack Quinn,R,f1,f1:R,BUF,BUF,buffalo-sabres,Buffalo,8482097,Jack_Quinn,jack-quinn,nhl_roster_full,2026-06-17,2026-06-17
64,Tage Thompson,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8479420,Tage_Thompson,tage-thompson,nhl_roster_full,2026-06-17,2026-06-17
65,Alex Tuch,R,f1,f1:R,BUF,BUF,buffalo-sabres,Buffalo,8477949,Alex_Tuch,alex-tuch,nhl_roster_full,2026-06-17,2026-06-17
66,Jason Zucker,L,f1,f1:L,BUF,BUF,buffalo-sabres,Buffalo,8475722,Jason_Zucker,jason-zucker,nhl_roster_full,2026-06-17,2026-06-17
67,Bowen Byram,D,d1,d1:D,BUF,BUF,buffalo-sabres,Buffalo,8481524,Bowen_Byram,bowen-byram,nhl_roster_full,2026-06-17,2026-06-17
