game_date,season,game_type,visitor_team,visitor_code,visitor_goals,home_team,home_code,home_goals,overtime,attendance,game_length,neutral_site,venue_note,in_window,fetch_date
2023-10-10,20232024,regular,Chicago Blackhawks,CHI,4,Pittsburgh Penguins,PIT,2,,18411,2:34,0,,1,2026-08-08
2023-10-10,20232024,regular,Nashville Predators,NAS,3,Tampa Bay Lightning,TB,5,,19092,2:33,0,,1,2026-08-08
2023-10-10,20232024,regular,Seattle Kraken,SEA,1,Vegas Golden Knights,VEG,4,,18724,2:22,0,,1,2026-08-08
2023-10-11,20232024,regular,Chicago Blackhawks,CHI,1,Boston Bruins,BOS,3,,17850,2:29,0,,1,2026-08-08
2023-10-11,20232024,regular,Winnipeg Jets,WPG,3,Calgary Flames,CGY,5,,17414,2:32,0,,1,2026-08-08
2023-10-11,20232024,regular,Ottawa Senators,OTT,3,Carolina Hurricanes,CAR,5,,18893,2:33,0,,1,2026-08-08
2023-10-11,20232024,regular,Colorado Avalanche,COL,5,Los Angeles Kings,LA,2,,18145,2:37,0,,1,2026-08-08
2023-10-11,20232024,regular,Montreal Canadiens,MON,5,Toronto Maple Leafs,TOR,6,SO,18948,2:46,0,,1,2026-08-08
2023-10-11,20232024,regular,Edmonton Oilers,EDM,1,Vancouver Canucks,VAN,8,,18706,2:33,0,,1,2026-08-08
2023-10-12,20232024,regular,New York Rangers,NYR,5,Buffalo Sabres,BUF,1,,19070,2:26,0,,1,2026-08-08
2023-10-12,20232024,regular,Philadelphia Flyers,PHI,4,Columbus Blue Jackets,CBJ,2,,18614,2:26,0,,1,2026-08-08
2023-10-12,20232024,regular,St. Louis Blues,STL,1,Dallas Stars,DAL,2,SO,18532,2:40,0,,1,2026-08-08
2023-10-12,20232024,regular,Florida Panthers,FLA,0,Minnesota Wild,MIN,2,,18976,2:37,0,,1,2026-08-08
2023-10-12,20232024,regular,Seattle Kraken,SEA,0,Nashville Predators,NAS,3,,17629,2:21,0,,1,2026-08-08
2023-10-12,20232024,regular,Detroit Red Wings,DET,3,New Jersey Devils,NJ,4,,16514,2:29,0,,1,2026-08-08
