player_id,full_name,nhl_player_id,team_code,season,position,age,ppg,toi_per_game,games_played,fetch_date
1,Leo Carlsson,8484153,ANA,20232024,C,19,0.5273,18.117,55,2026-08-07
1,Leo Carlsson,8484153,ANA,20242025,C,20,0.5921,16.233,76,2026-08-07
1,Leo Carlsson,8484153,ANA,20252026,C,21,0.9571,19.15,70,2026-08-07
2,Nathan Gaucher,8483444,ANA,20232024,C,20,,,,2026-08-07
2,Nathan Gaucher,8483444,ANA,20242025,C,21,,,,2026-08-07
2,Nathan Gaucher,8483444,ANA,20252026,C,22,0.0,8.017,3,2026-08-07
3,Cutter Gauthier,8483445,ANA,20232024,L,20,1.0,15.4,1,2026-08-07
3,Cutter Gauthier,8483445,ANA,20242025,L,21,0.5366,14.15,82,2026-08-07
3,Cutter Gauthier,8483445,ANA,20252026,L,22,0.9079,17.25,76,2026-08-07
4,Mikael Granlund,8475798,ANA,20232024,C,31,0.8696,20.967,69,2026-08-07
4,Mikael Granlund,8475798,ANA,20242025,C,32,0.7952,19.443,83,2026-08-07
4,Mikael Granlund,8475798,ANA,20252026,C,33,0.7069,19.167,58,2026-08-07
5,Jansen Harkins,8478424,ANA,20232024,C,26,0.0889,8.2,45,2026-08-07
5,Jansen Harkins,8478424,ANA,20242025,C,27,0.0968,10.933,62,2026-08-07
5,Jansen Harkins,8478424,ANA,20252026,C,28,0.1818,9.583,44,2026-08-07
6,Ross Johnston,8477527,ANA,20232024,L,29,0.0588,8.2,68,2026-08-07
6,Ross Johnston,8477527,ANA,20242025,L,30,0.093,8.683,43,2026-08-07
6,Ross Johnston,8477527,ANA,20252026,L,31,0.2258,9.75,62,2026-08-07
7,Alex Killorn,8473986,ANA,20232024,L,34,0.5714,18.733,63,2026-08-07
7,Alex Killorn,8473986,ANA,20242025,L,35,0.4512,17.283,82,2026-08-07
7,Alex Killorn,8473986,ANA,20252026,L,36,0.4024,16.7,82,2026-08-07
8,Chris Kreider,8475184,ANA,20232024,L,32,0.9146,18.783,82,2026-08-07
8,Chris Kreider,8475184,ANA,20242025,L,33,0.4412,16.75,68,2026-08-07
8,Chris Kreider,8475184,ANA,20252026,L,34,0.6667,17.05,75,2026-08-07
9,Mason McTavish,8482745,ANA,20232024,C,21,0.6562,16.283,64,2026-08-07
9,Mason McTavish,8482745,ANA,20242025,C,22,0.6842,16.883,76,2026-08-07
9,Mason McTavish,8482745,ANA,20252026,C,23,0.5467,15.317,75,2026-08-07
10,Ryan Poehling,8480068,ANA,20232024,C,25,0.3636,15.0,77,2026-08-07
10,Ryan Poehling,8480068,ANA,20242025,C,26,0.4559,13.883,68,2026-08-07
10,Ryan Poehling,8480068,ANA,20252026,C,27,0.48,15.067,75,2026-08-07
11,Beckett Sennecke,8484762,ANA,20232024,R,18,,,,2026-08-07
11,Beckett Sennecke,8484762,ANA,20242025,R,19,,,,2026-08-07
11,Beckett Sennecke,8484762,ANA,20252026,R,20,0.7317,17.45,82,2026-08-07
12,Troy Terry,8478873,ANA,20232024,R,26,0.7105,18.283,76,2026-08-07
12,Troy Terry,8478873,ANA,20242025,R,27,0.7143,18.85,77,2026-08-07
12,Troy Terry,8478873,ANA,20252026,R,28,0.9344,18.35,61,2026-08-07
13,Frank Vatrano,8478366,ANA,20232024,R,29,0.7317,18.35,82,2026-08-07
13,Frank Vatrano,8478366,ANA,20242025,R,30,0.5556,17.55,81,2026-08-07
13,Frank Vatrano,8478366,ANA,20252026,R,31,0.18,11.817,50,2026-08-07
14,Jeffrey Viel,8479705,ANA,20232024,L,27,,,,2026-08-07
14,Jeffrey Viel,8479705,ANA,20242025,L,28,0.0,7.683,5,2026-08-07
14,Jeffrey Viel,8479705,ANA,20252026,L,29,0.2222,11.924,45,2026-08-07
15,Tim Washe,8485512,ANA,20232024,C,22,,,,2026-08-07
15,Tim Washe,8485512,ANA,20242025,C,23,0.0,7.733,2,2026-08-07
15,Tim Washe,8485512,ANA,20252026,C,24,0.1282,12.05,39,2026-08-07
16,John Carlson,8474590,ANA,20232024,D,34,0.6341,25.9,82,2026-08-07
16,John Carlson,8474590,ANA,20242025,D,35,0.6456,23.567,79,2026-08-07
16,John Carlson,8474590,ANA,20252026,D,36,0.8451,23.163,71,2026-08-07
17,Radko Gudas,8475462,ANA,20232024,D,33,0.2727,19.5,66,2026-08-07
17,Radko Gudas,8475462,ANA,20242025,D,34,0.1975,19.867,81,2026-08-07
17,Radko Gudas,8475462,ANA,20252026,D,35,0.2321,16.183,56,2026-08-07
18,Drew Helleson,8481563,ANA,20232024,D,22,,,,2026-08-07
18,Drew Helleson,8481563,ANA,20242025,D,23,0.2321,16.35,56,2026-08-07
18,Drew Helleson,8481563,ANA,20252026,D,24,0.25,16.967,60,2026-08-07
19,Tyson Hinds,8482731,ANA,20232024,D,20,,,,2026-08-07
19,Tyson Hinds,8482731,ANA,20242025,D,21,,,,2026-08-07
19,Tyson Hinds,8482731,ANA,20252026,D,22,0.0,15.617,6,2026-08-07
20,Jackson LaCombe,8481605,ANA,20232024,D,23,0.2394,19.383,71,2026-08-07
20,Jackson LaCombe,8481605,ANA,20242025,D,24,0.5733,22.3,75,2026-08-07
20,Jackson LaCombe,8481605,ANA,20252026,D,25,0.7073,24.25,82,2026-08-07
21,Pavel Mintyukov,8483490,ANA,20232024,D,20,0.4444,18.85,63,2026-08-07
21,Pavel Mintyukov,8483490,ANA,20242025,D,21,0.2794,17.6,68,2026-08-07
21,Pavel Mintyukov,8483490,ANA,20252026,D,22,0.3014,18.433,73,2026-08-07
22,Ian Moore,8482178,ANA,20232024,D,22,,,,2026-08-07
22,Ian Moore,8482178,ANA,20242025,D,23,0.3333,13.633,3,2026-08-07
22,Ian Moore,8482178,ANA,20252026,D,24,0.1791,13.667,67,2026-08-07
23,Jacob Trouba,8476885,ANA,20232024,D,29,0.3188,21.25,69,2026-08-07
23,Jacob Trouba,8476885,ANA,20242025,D,30,0.1818,20.516,77,2026-08-07
23,Jacob Trouba,8476885,ANA,20252026,D,31,0.4321,22.833,81,2026-08-07
24,Olen Zellweger,8482803,ANA,20232024,D,20,0.3462,19.283,26,2026-08-07
24,Olen Zellweger,8482803,ANA,20242025,D,21,0.3226,18.967,62,2026-08-07
24,Olen Zellweger,8482803,ANA,20252026,D,22,0.2895,16.983,76,2026-08-07
25,Viktor Arvidsson,8478042,BOS,20232024,L,30,0.8333,16.7,18,2026-08-07
25,Viktor Arvidsson,8478042,BOS,20242025,L,31,0.403,15.0,67,2026-08-07
25,Viktor Arvidsson,8478042,BOS,20252026,L,32,0.7826,14.6,69,2026-08-07
26,Michael Eyssimont,8479591,BOS,20232024,C,27,0.3086,11.85,81,2026-08-07
26,Michael Eyssimont,8479591,BOS,20242025,C,28,0.2078,10.618,77,2026-08-07
26,Michael Eyssimont,8479591,BOS,20252026,C,29,0.3214,10.917,56,2026-08-07
27,Morgan Geekie,8479987,BOS,20232024,C,25,0.5132,15.417,76,2026-08-07
27,Morgan Geekie,8479987,BOS,20242025,C,26,0.7403,16.917,77,2026-08-07
27,Morgan Geekie,8479987,BOS,20252026,C,27,0.8395,17.4,81,2026-08-07
28,James Hagens,8485395,BOS,20232024,C,17,,,,2026-08-07
28,James Hagens,8485395,BOS,20242025,C,18,,,,2026-08-07
28,James Hagens,8485395,BOS,20252026,C,19,0.5,14.55,2,2026-08-07
29,Tanner Jeannot,8479661,BOS,20232024,L,26,0.2545,12.017,55,2026-08-07
29,Tanner Jeannot,8479661,BOS,20242025,L,27,0.194,11.017,67,2026-08-07
29,Tanner Jeannot,8479661,BOS,20252026,L,28,0.2857,12.65,77,2026-08-07
30,Mark Kastelic,8480355,BOS,20232024,C,24,0.1587,7.717,63,2026-08-07
30,Mark Kastelic,8480355,BOS,20242025,C,25,0.2295,10.733,61,2026-08-07
30,Mark Kastelic,8480355,BOS,20252026,C,26,0.2683,12.617,82,2026-08-07
31,Marat Khusnutdinov,8482177,BOS,20232024,C,21,0.25,13.117,16,2026-08-07
31,Marat Khusnutdinov,8482177,BOS,20242025,C,22,0.16,12.085,75,2026-08-07
31,Marat Khusnutdinov,8482177,BOS,20252026,C,23,0.4286,14.5,77,2026-08-07
32,Sean Kuraly,8476374,BOS,20232024,C,31,0.2903,13.733,62,2026-08-07
32,Sean Kuraly,8476374,BOS,20242025,C,32,0.2073,11.767,82,2026-08-07
32,Sean Kuraly,8476374,BOS,20252026,C,33,0.2683,13.333,82,2026-08-07
33,Elias Lindholm,8477496,BOS,20232024,C,29,0.5867,19.693,75,2026-08-07
33,Elias Lindholm,8477496,BOS,20242025,C,30,0.5732,18.083,82,2026-08-07
33,Elias Lindholm,8477496,BOS,20252026,C,31,0.6957,17.883,69,2026-08-07
34,Fraser Minten,8483489,BOS,20232024,C,19,0.0,11.433,4,2026-08-07
34,Fraser Minten,8483489,BOS,20242025,C,20,0.2381,13.029,21,2026-08-07
