player_id,full_name,team_code,ig_handle,ig_followers,ig_followers_verbatim,ig_precision,ig_status,ig_source,ig_retrieved_on,x_handle,x_followers,x_followers_verbatim,x_precision,x_status,x_source,x_retrieved_on
1,Leo Carlsson,ANA,leocarlssoon,64000,64K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,leocarlsson7,2200,2.2K+,approximate_public_response,ok_private_profile,google_search_verified:2026-08-03,2026-08-03
2,Nathan Gaucher,ANA,nath.gaucher91,7500,7.5K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,NathanGaucher3,260,260+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
3,Cutter Gauthier,ANA,cuttergauthier_,45900,45.9K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,GauthierCutter,2000,2K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
4,Mikael Granlund,ANA,mikkegranlund,9119,9119,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,null,null,null,null,needs_manual_review,google_search_no_clear_account:2026-08-03,2026-08-03
5,Jansen Harkins,ANA,jansenharks26,7213,"7,213",exact_public_response,ok,google_search_verified:2026-08-03,2026-08-03,JansenHarks26,2300,2.3K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
6,Ross Johnston,ANA,rossjohnston9,700,700+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,RossJohnstonn,730,730+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
7,Alex Killorn,ANA,akillorn17,71400,71400,exact_public_response,ok,verified_browser_check:2026-08-03,2026-08-03,Akillorn19,31400,31.4K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
8,Chris Kreider,ANA,chriskreider19,null,null,null,needs_manual_review,google_search_no_clear_account:2026-08-03,2026-08-03,ChrisKreider,900,900+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
9,Mason McTavish,ANA,null,null,null,null,needs_manual_review,google_search_no_clear_account:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
10,Ryan Poehling,ANA,ryanpoehling,41000,41K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,LilUziPoehlss,13400,13.4K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
11,Beckett Sennecke,ANA,beckettsennecke_,61600,61.6K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
12,Troy Terry,ANA,tterry19,27000,27K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,troyterry1997,8700,8.7K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
13,Frank Vatrano,ANA,frank_vatrano,null,null,null,needs_manual_review,google_search_handle_only_no_followers:2026-08-03,2026-08-03,Frank_Vatrano,10400,10.4K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
14,Jeffrey Viel,ANA,jeff_viel,5900,5.9K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,jeffviel_27,560,560+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
15,Tim Washe,ANA,tlwashe,3949,"3,949",exact_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
16,John Carlson,ANA,jc7474,69000,69K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
17,Radko Gudas,ANA,radko.gudas7,51139,51139,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,radkogudas,15600,15.6K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
18,Drew Helleson,ANA,drewhelleson4,null,null,null,needs_manual_review,google_search_handle_only_no_followers:2026-08-03,2026-08-03,drew_helleson21,840,840+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
19,Tyson Hinds,ANA,tysonhinds_,7307,"7,307",exact_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
20,Jackson LaCombe,ANA,jacksonlacombe,1075,1075,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,lacombe_jackson,720,720+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
21,Pavel Mintyukov,ANA,mintyukov_10,10000,10K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
22,Ian Moore,ANA,ianmoore17,2500,2.5K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
23,Jacob Trouba,ANA,jacobtrouba,84300,84.3K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,JacobTrouba,48100,48.1K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
24,Olen Zellweger,ANA,olenzellweger,35300,35.3K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,OlenZellweger,1200,1.2K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
25,Viktor Arvidsson,BOS,viktorarvidsson,31200,31.2K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
26,Michael Eyssimont,BOS,mikeyeyssimont,11800,11.8K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
27,Morgan Geekie,BOS,morgangeekie,43000,43K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,gmoneyslic,11100,11.1K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
28,James Hagens,BOS,jameshagens_4,70900,70.9K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
29,Tanner Jeannot,BOS,tanner_j10,18300,18.3K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
30,Mark Kastelic,BOS,m.kastelic,9753,"9,753",exact_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
31,Marat Khusnutdinov,BOS,xmarat22,19696,19696,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
32,Sean Kuraly,BOS,sean.kuraly,34100,34.1K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,sean_kuraly,17800,17.8K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
33,Elias Lindholm,BOS,lindholmelias,62294,62294,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
34,Fraser Minten,BOS,fraserminten,59200,59.2K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
35,Casey Mittelstadt,BOS,cmittelstadt,19647,19647,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
36,David Pastrnak,BOS,davidpastrnak,761099,761099,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,pastrnak96,134500,134.5K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
37,Lukas Reichel,BOS,lukasreichel44,52540,52540,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,lukas__44,2700,2.7K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
38,Alex Steeves,BOS,alex.steeves,5596,"5,596",exact_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
39,Pavel Zacha,BOS,pavelzacha37,7169,"7,169",approximate_public_response,ok,blinkfire_aggregator:2026-08-03,2026-08-03,Pavel_Zacha,7100,7.1K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
40,Jonathan Aspirot,BOS,jonathanaspirot,4500,4.5K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
41,Jordan Harris,BOS,jordanharris04,18200,18.2K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,jharris004,4500,4.5K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
42,Henri Jokiharju,BOS,jokiis,14369,14369,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
43,Hampus Lindholm,BOS,hampuslindholm27,65400,65400,approximate_public_response,ok,verified_browser_check:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
44,Mason Lohrei,BOS,masonlohrei,41000,41K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,Mason_lohrei20,1800,1.8K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
45,Charlie McAvoy,BOS,cmcavoy25,240909,240909,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,CMcAvoy44,63000,63K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
46,Andrew Peeke,BOS,andrewpeeke20,15400,15.4K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
47,Nikita Zadorov,BOS,zadorov_16,85536,85536,exact_public_response,ok,wikidata:P2003+instagram_public_profile,2026-08-03,zadorov61,14400,14.4K+,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03
48,Zach Benson,BUF,zachbenson_6,46800,46.8K,approximate_public_response,ok,google_search_verified:2026-08-03,2026-08-03,null,null,null,null,null_no_account,google_search_no_account:2026-08-03,2026-08-03
