player_id,full_name,query,query_mid,trends_method,trends_12mo,player_mean_scaled,anchor_mean_scaled,n_weeks,fetch_date
1,Leo Carlsson,Leo Carlsson,/g/11ghv5rlyp,topic,0.094421,1.2453,13.1887,53,2026-08-31
2,Nathan Gaucher,Nathan Gaucher,/g/11nmd70tfd,topic,0.001431,0.0189,13.1887,53,2026-08-31
3,Cutter Gauthier,Cutter Gauthier,/g/11j53mxb6d,topic,0.098712,1.3019,13.1887,53,2026-08-31
4,Mikael Granlund,Mikael Granlund,/m/07sb6b0,topic,0.115880,1.5283,13.1887,53,2026-08-31
5,Jansen Harkins,Jansen Harkins,/g/11btvh7jyp,topic,0.000000,0.0000,13.1887,53,2026-08-31
6,Ross Johnston,Ross Johnston,/g/11cn321_zm,topic_position,0.004292,0.0566,13.1887,53,2026-08-31
7,Alex Killorn,Alex Killorn,/m/0j65pgt,topic,0.002861,0.0377,13.1887,53,2026-08-31
8,Chris Kreider,Chris Kreider,/m/06wb8sd,topic,0.135908,1.7925,13.1887,53,2026-08-31
9,Mason McTavish,Mason McTavish,/g/11h05bsjty,topic,0.098712,1.3019,13.1887,53,2026-08-31
10,Ryan Poehling,Ryan Poehling,/g/11fy79w3f1,topic,0.017167,0.2264,13.1887,53,2026-08-31
11,Beckett Sennecke,Beckett Sennecke,/g/11s1t1dkwt,topic,0.077253,1.0189,13.1887,53,2026-08-31
12,Troy Terry,Troy Terry,/g/11btyx129z,topic,0.030043,0.3962,13.1887,53,2026-08-31
13,Frank Vatrano,Frank Vatrano,/g/11b7fldkwj,topic,0.002861,0.0377,13.1887,53,2026-08-31
14,Jeffrey Viel,Jeffrey Viel,/g/11cs1r7fz2,topic_position,0.000000,0.0000,13.1887,53,2026-08-31
15,Tim Washe,Tim Washe,/g/11frh665rp,topic,0.001431,0.0189,13.1887,53,2026-08-31
16,John Carlson,John Carlson,/m/047s88n,topic,0.081545,1.0755,13.1887,53,2026-08-31
17,Radko Gudas,Radko Gudas,/m/0g9th4r,topic,0.174535,2.3019,13.1887,53,2026-08-31
18,Drew Helleson,Drew Helleson,/g/11h5pkb878,topic,0.000000,0.0000,13.1887,53,2026-08-31
19,Tyson Hinds,Tyson Hinds,/g/11f67dkmy6,topic,0.001431,0.0189,13.1887,53,2026-08-31
20,Jackson LaCombe,Jackson LaCombe,/g/11h20cbn_g,topic,0.045780,0.6038,13.1887,53,2026-08-31
21,Pavel Mintyukov,Pavel Mintyukov,/g/11pvqkhlyt,topic,0.005722,0.0755,13.1887,53,2026-08-31
22,Ian Moore,Ian Moore,/g/11x6jbmwwq,topic,0.001431,0.0189,13.1887,53,2026-08-31
23,Jacob Trouba,Jacob Trouba,/m/0h564pm,topic,0.042918,0.5660,13.1887,53,2026-08-31
24,Olen Zellweger,Olen Zellweger,/g/11gy48l9l3,topic,0.012876,0.1698,13.1887,53,2026-08-31
25,Viktor Arvidsson,Viktor Arvidsson,/m/0gmbyjw,topic,0.057225,0.7547,13.1887,53,2026-08-31
26,Michael Eyssimont,Michael Eyssimont,/g/11f0z2thvd,topic,0.005722,0.0755,13.1887,53,2026-08-31
27,Morgan Geekie,Morgan Geekie,/g/11f4wflbjr,topic,0.111588,1.4717,13.1887,53,2026-08-31
28,James Hagens,James Hagens,/g/11fhtgby25,topic,0.120172,1.5849,13.1887,53,2026-08-31
29,Tanner Jeannot,Tanner Jeannot,/g/11c55jxw7x,topic,0.034335,0.4528,13.1887,53,2026-08-31
30,Mark Kastelic,Mark Kastelic,/g/11f2bxsmt6,topic,0.008584,0.1132,13.1887,53,2026-08-31
31,Marat Khusnutdinov,Marat Khusnutdinov,/g/11lqwl3htj,topic,0.024320,0.3208,13.1887,53,2026-08-31
32,Sean Kuraly,Sean Kuraly,/g/11c269sv7n,topic,0.004292,0.0566,13.1887,53,2026-08-31
33,Elias Lindholm,Elias Lindholm,/m/0k3kjn1,topic,0.058655,0.7736,13.1887,53,2026-08-31
34,Fraser Minten,Fraser Minten,/g/11tdl2stnw,topic,0.070100,0.9245,13.1887,53,2026-08-31
35,Casey Mittelstadt,Casey Mittelstadt,/g/11c60pkqpf,topic,0.038627,0.5094,13.1887,53,2026-08-31
36,David Pastrnak,David Pastrnak,/m/0_x91m2,topic,0.337625,4.4528,13.1887,53,2026-08-31
37,Lukas Reichel,Lukas Reichel,/g/11h__y2njx,topic,0.080114,1.0566,13.1887,53,2026-08-31
38,Alex Steeves,Alex Steeves,/g/11n38d4fjd,topic,0.014306,0.1887,13.1887,53,2026-08-31
39,Pavel Zacha,Pavel Zacha,/m/0_t_v19,topic,0.045780,0.6038,13.1887,53,2026-08-31
40,Jonathan Aspirot,Jonathan Aspirot,/g/11gmj2gs2c,topic,0.005722,0.0755,13.1887,53,2026-08-31
41,Jordan Harris,Jordan Harris,/g/11smynp93g,topic,0.012876,0.1698,13.1887,53,2026-08-31
42,Henri Jokiharju,Henri Jokiharju,/g/11cn3hg0cr,topic,0.004292,0.0566,13.1887,53,2026-08-31
43,Hampus Lindholm,Hampus Lindholm,/m/0j64lq9,topic,0.017167,0.2264,13.1887,53,2026-08-31
44,Mason Lohrei,Mason Lohrei,/g/11h6mw1jz6,topic,0.020029,0.2642,13.1887,53,2026-08-31
45,Charlie McAvoy,Charlie McAvoy,/g/11cls6mc7_,topic,0.195994,2.5849,13.1887,53,2026-08-31
46,Andrew Peeke,Andrew Peeke,/g/11fqctvx6_,topic,0.000000,0.0000,13.1887,53,2026-08-31
47,Nikita Zadorov,Nikita Zadorov,/m/0vppzf0,topic,0.060086,0.7925,13.1887,53,2026-08-31
48,Zach Benson,Zach Benson,/g/11v14lbs1t,topic,0.037196,0.4906,13.1887,53,2026-08-31
