player_id,full_name,query,query_mid,trends_method,trends_12mo,player_mean_scaled,anchor_mean_scaled,n_weeks,fetch_date
1,Leo Carlsson,Leo Carlsson,/g/11ghv5rlyp,topic,0.093686,0.6970,7.4394,132,2026-08-07
2,Nathan Gaucher,Nathan Gaucher,/g/11nmd70tfd,topic,0.000000,0.0000,7.4394,132,2026-08-07
3,Cutter Gauthier,Cutter Gauthier,/g/11j53mxb6d,topic,0.131365,0.9773,7.4394,132,2026-08-07
4,Mikael Granlund,Mikael Granlund,/m/07sb6b0,topic,0.107943,0.8030,7.4394,132,2026-08-07
5,Jansen Harkins,Jansen Harkins,/g/11btvh7jyp,topic,0.000000,0.0000,7.4394,132,2026-08-07
6,Ross Johnston,Ross Johnston,/g/11cn321_zm,topic_position,0.002037,0.0152,7.4394,132,2026-08-07
7,Alex Killorn,Alex Killorn,/m/0j65pgt,topic,0.004073,0.0303,7.4394,132,2026-08-07
8,Chris Kreider,Chris Kreider,/m/06wb8sd,topic,0.163951,1.2197,7.4394,132,2026-08-07
9,Mason McTavish,Mason McTavish,/g/11h05bsjty,topic,0.076375,0.5682,7.4394,132,2026-08-07
10,Ryan Poehling,Ryan Poehling,/g/11fy79w3f1,topic,0.007128,0.0530,7.4394,132,2026-08-07
11,Beckett Sennecke,Beckett Sennecke,/g/11s1t1dkwt,topic,0.063136,0.4697,7.4394,132,2026-08-07
12,Troy Terry,Troy Terry,/g/11btyx129z,topic,0.016293,0.1212,7.4394,132,2026-08-07
13,Frank Vatrano,Frank Vatrano,/g/11b7fldkwj,topic,0.028513,0.2121,7.4394,132,2026-08-07
14,Jeffrey Viel,Jeffrey Viel,/g/11h5p088s9,topic,0.001018,0.0076,7.4394,132,2026-08-07
15,Tim Washe,Tim Washe,/g/11frh665rp,topic,0.001018,0.0076,7.4394,132,2026-08-07
16,John Carlson,John Carlson,/m/047s88n,topic,0.052953,0.3939,7.4394,132,2026-08-07
17,Radko Gudas,Radko Gudas,/m/0g9th4r,topic,0.171079,1.2727,7.4394,132,2026-08-07
18,Drew Helleson,Drew Helleson,/g/11h5pkb878,topic,0.000000,0.0000,7.4394,132,2026-08-07
19,Tyson Hinds,Tyson Hinds,/g/11f67dkmy6,topic,0.000000,0.0000,7.4394,132,2026-08-07
20,Jackson LaCombe,Jackson LaCombe,/g/11h20cbn_g,topic,0.020367,0.1515,7.4394,132,2026-08-07
21,Pavel Mintyukov,Pavel Mintyukov,/g/11pvqkhlyt,topic,0.005092,0.0379,7.4394,132,2026-08-07
22,Ian Moore,Ian Moore,/g/11x6jbmwwq,topic,0.000000,0.0000,7.4394,132,2026-08-07
23,Jacob Trouba,Jacob Trouba,/m/0h564pm,topic,0.149695,1.1136,7.4394,132,2026-08-07
24,Olen Zellweger,Olen Zellweger,/g/11gy48l9l3,topic,0.005092,0.0379,7.4394,132,2026-08-07
25,Viktor Arvidsson,Viktor Arvidsson,/m/0gmbyjw,topic,0.045825,0.3409,7.4394,132,2026-08-07
26,Michael Eyssimont,Michael Eyssimont,/g/11f0z2thvd,topic,0.005092,0.0379,7.4394,132,2026-08-07
27,Morgan Geekie,Morgan Geekie,/g/11f4wflbjr,topic,0.088595,0.6591,7.4394,132,2026-08-07
28,James Hagens,James Hagens,/g/11fhtgby25,topic,0.089613,0.6667,7.4394,132,2026-08-07
