player_id,full_name,wikidata_qid,editions_available,editions_fetched,wiki_intl_12mo,per_edition_json,window_start,window_end,fetch_date,intl_match,n_redirect_titles,redirect_views_12mo,redirect_share
1,Leo Carlsson,Q115703445,cs|fi|fr|ru|sv,cs|fi|fr|ru|sv,71427,"{""cs"": 3761, ""fi"": 4867, ""fr"": 4516, ""ru"": 14484, ""sv"": 43799}",20231010,20260417,2026-08-07,ok,0,0,0.000000
2,Nathan Gaucher,Q112967545,fr|sv,fr|sv,4096,"{""fr"": 4017, ""sv"": 79}",20231010,20260417,2026-08-07,ok,1,15,0.003662
3,Cutter Gauthier,Q81903054,cs|fi|fr|ru|sv,cs|fi|fr|ru|sv,36547,"{""cs"": 89, ""fi"": 3868, ""fr"": 23218, ""ru"": 4609, ""sv"": 4763}",20231010,20260417,2026-08-07,ok,1,140,0.003831
4,Mikael Granlund,Q520141,cs|de|fi|fr|ru|sk|sv,cs|de|fi|fr|ru|sk|sv,224856,"{""cs"": 6529, ""de"": 10690, ""fi"": 158392, ""fr"": 5807, ""ru"": 26806, ""sk"": 4772, ""sv"": 11860}",20231010,20260417,2026-08-07,ok,5,688,0.003060
5,Jansen Harkins,Q20066440,fi|fr|sv,fi|fr|sv,2870,"{""fi"": 1222, ""fr"": 988, ""sv"": 660}",20231010,20260417,2026-08-07,ok,0,0,0.000000
6,Ross Johnston,Q24006114,de|fi|fr|sv,de|fi|fr|sv,3640,"{""de"": 1287, ""fi"": 744, ""fr"": 1052, ""sv"": 557}",20231010,20260417,2026-08-07,ok,0,0,0.000000
7,Alex Killorn,Q4719307,de|fi|fr|ru|sv,de|fi|fr|ru|sv,19539,"{""de"": 2865, ""fi"": 3126, ""fr"": 3635, ""ru"": 8832, ""sv"": 1081}",20231010,20260417,2026-08-07,ok,8,1295,0.066278
8,Chris Kreider,Q465017,de|fi|fr|ru|sv,de|fi|fr|ru|sv,30608,"{""de"": 5381, ""fi"": 3326, ""fr"": 4767, ""ru"": 15382, ""sv"": 1752}",20231010,20260417,2026-08-07,ok,3,1653,0.054005
9,Mason McTavish,Q107684199,cs|de|fi|fr|ru|sv,de|fi|fr|ru|sv,26689,"{""cs"": 0, ""de"": 4306, ""fi"": 3241, ""fr"": 8134, ""ru"": 9748, ""sv"": 1260}",20231010,20260417,2026-08-07,ok,3,160,0.005995
10,Ryan Poehling,Q30538929,de|fi|fr|sv,de|fi|fr|sv,11225,"{""de"": 1759, ""fi"": 2253, ""fr"": 6348, ""sv"": 865}",20231010,20260417,2026-08-07,ok,1,79,0.007038
11,Beckett Sennecke,Q126930004,cs|fi|fr|ru|sv,fi|fr|ru|sv,5841,"{""cs"": 0, ""fi"": 1504, ""fr"": 1225, ""ru"": 2666, ""sv"": 446}",20231010,20260417,2026-08-07,ok,1,507,0.086800
12,Troy Terry,Q21600096,de|fi|fr|ru|sv,de|fi|fr|sv,11788,"{""de"": 1736, ""fi"": 1704, ""fr"": 1631, ""ru"": 5942, ""sv"": 775}",20231010,20260417,2026-08-07,ok,2,267,0.022650
13,Frank Vatrano,Q21484331,de|fi|fr|ru|sv,de|fi|fr|ru|sv,12900,"{""de"": 2311, ""fi"": 1848, ""fr"": 2015, ""ru"": 5732, ""sv"": 994}",20231010,20260417,2026-08-07,ok,4,413,0.032016
14,Jeffrey Viel,Q106291776,de|fr|sv,de|fr|sv,5485,"{""de"": 1058, ""fr"": 4002, ""sv"": 425}",20231010,20260417,2026-08-07,ok,8,563,0.102644
15,Tim Washe,Q133885139,sv,sv,313,"{""sv"": 313}",20231010,20260417,2026-08-07,ok,2,62,0.198083
16,John Carlson,Q1364621,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,51529,"{""cs"": 3859, ""de"": 3318, ""fi"": 2690, ""fr"": 3761, ""ru"": 35648, ""sv"": 2253}",20231010,20260417,2026-08-07,ok,4,733,0.014225
17,Radko Gudas,Q3501342,cs|de|fi|fr|ru|sk|sv,cs|de|fi|fr|ru|sk|sv,429453,"{""cs"": 367805, ""de"": 14294, ""fi"": 14665, ""fr"": 7307, ""ru"": 17044, ""sk"": 3788, ""sv"": 4550}",20231010,20260417,2026-08-07,ok,5,642,0.001495
18,Drew Helleson,Q110553837,fi|sv,fi|sv,1385,"{""fi"": 713, ""sv"": 672}",20231010,20260417,2026-08-07,ok,0,0,0.000000
20,Jackson LaCombe,Q108556047,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,15289,"{""cs"": 362, ""de"": 913, ""fi"": 5393, ""fr"": 4085, ""ru"": 3753, ""sv"": 783}",20231010,20260417,2026-08-07,ok,2,74,0.004840
21,Pavel Mintyukov,Q112967556,fi|fr|ru|sv,fi|fr|ru|sv,40644,"{""fi"": 1125, ""fr"": 1497, ""ru"": 33629, ""sv"": 4393}",20231010,20260417,2026-08-07,ok,2,247,0.006077
22,Ian Moore,Q133869438,fi|sv,fi|sv,1739,"{""fi"": 124, ""sv"": 1615}",20231010,20260417,2026-08-07,ok,0,0,0.000000
23,Jacob Trouba,Q3133586,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,51342,"{""cs"": 12379, ""de"": 6502, ""fi"": 4361, ""fr"": 5904, ""ru"": 19976, ""sv"": 2220}",20231010,20260417,2026-08-07,ok,3,1175,0.022886
24,Olen Zellweger,Q124350295,cs|fi|fr|sv,fi|fr|sv,5216,"{""cs"": 0, ""fi"": 2046, ""fr"": 2212, ""sv"": 958}",20231010,20260417,2026-08-07,ok,0,0,0.000000
25,Viktor Arvidsson,Q2645491,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,25499,"{""cs"": 1984, ""de"": 4331, ""fi"": 2438, ""fr"": 1853, ""ru"": 6446, ""sv"": 8447}",20231010,20260417,2026-08-07,ok,2,284,0.011138
26,Michael Eyssimont,Q111588813,cs|fi|fr|ru|sv,cs|fi|fr|ru|sv,5749,"{""cs"": 71, ""fi"": 964, ""fr"": 1601, ""ru"": 2425, ""sv"": 688}",20231010,20260417,2026-08-07,ok,6,791,0.137589
27,Morgan Geekie,Q87355712,cs|de|fi|fr|sv,cs|de|fi|fr|sv,12177,"{""cs"": 2777, ""de"": 2534, ""fi"": 2137, ""fr"": 3738, ""sv"": 991}",20231010,20260417,2026-08-07,ok,1,116,0.009526
28,James Hagens,Q124303296,fi|sv,fi|sv,2610,"{""fi"": 2579, ""sv"": 31}",20231010,20260417,2026-08-07,ok,0,0,0.000000
29,Tanner Jeannot,Q105741085,fi|fr|ru|sv,fi|fr|ru|sv,10226,"{""fi"": 1168, ""fr"": 3126, ""ru"": 5180, ""sv"": 752}",20231010,20260417,2026-08-07,ok,2,125,0.012224
30,Mark Kastelic,Q110751049,fi|sv,fi|sv,1074,"{""fi"": 108, ""sv"": 966}",20231010,20260417,2026-08-07,ok,0,0,0.000000
31,Marat Khusnutdinov,Q100166282,fi|fr|ru|sv,fi|fr|ru|sv,77619,"{""fi"": 1599, ""fr"": 1665, ""ru"": 73760, ""sv"": 595}",20231010,20260417,2026-08-07,ok,5,806,0.010384
32,Sean Kuraly,Q27702898,de|fi|fr|ru|sv,de|fi|fr|ru|sv,7393,"{""de"": 1669, ""fi"": 1243, ""fr"": 1101, ""ru"": 2436, ""sv"": 944}",20231010,20260417,2026-08-07,ok,1,82,0.011092
33,Elias Lindholm,Q3050933,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,64659,"{""cs"": 5412, ""de"": 5654, ""fi"": 4410, ""fr"": 4157, ""ru"": 14770, ""sv"": 30256}",20231010,20260417,2026-08-07,ok,3,488,0.007547
34,Fraser Minten,Q115176275,de|fi|ru|sv,de|fi|sv,6258,"{""de"": 876, ""fi"": 4471, ""ru"": 0, ""sv"": 911}",20231010,20260417,2026-08-07,ok,0,0,0.000000
35,Casey Mittelstadt,Q28154979,de|fi|fr|ru|sv,de|fi|fr|ru|sv,17403,"{""de"": 4048, ""fi"": 2570, ""fr"": 2708, ""ru"": 6789, ""sv"": 1288}",20231010,20260417,2026-08-07,ok,2,324,0.018617
36,David Pastrnak,Q16224594,cs|de|fi|fr|ru|sk|sv,cs|de|fi|fr|ru|sk|sv,726706,"{""cs"": 547394, ""de"": 44553, ""fi"": 18567, ""fr"": 17312, ""ru"": 72673, ""sk"": 3351, ""sv"": 22856}",20231010,20260417,2026-08-07,ok,9,6720,0.009247
37,Lukas Reichel,Q70006257,de|fi|fr|ru|sv,de|fi|fr|ru|sv,73355,"{""de"": 64167, ""fi"": 2289, ""fr"": 2409, ""ru"": 2990, ""sv"": 1500}",20231010,20260417,2026-08-07,ok,1,262,0.003572
38,Alex Steeves,Q109984157,fi|sv,sv,830,"{""fi"": 0, ""sv"": 830}",20231010,20260417,2026-08-07,ok,0,0,0.000000
39,Pavel Zacha,Q16225756,cs|de|fi|fr|ru|sk|sv,cs|de|fi|fr|ru|sk|sv,99129,"{""cs"": 79023, ""de"": 4577, ""fi"": 2123, ""fr"": 3168, ""ru"": 8901, ""sk"": 500, ""sv"": 837}",20231010,20260417,2026-08-07,ok,3,562,0.005669
40,Jonathan Aspirot,Q90428177,fr|sv,fr|sv,5846,"{""fr"": 5688, ""sv"": 158}",20231010,20260417,2026-08-07,ok,1,19,0.003250
41,Jordan Harris,Q111473583,fi|fr|sv,fi|fr|sv,7882,"{""fi"": 634, ""fr"": 6694, ""sv"": 554}",20231010,20260417,2026-08-07,ok,0,0,0.000000
42,Henri Jokiharju,Q24827212,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,30408,"{""cs"": 1824, ""de"": 2469, ""fi"": 19008, ""fr"": 1860, ""ru"": 3774, ""sv"": 1473}",20231010,20260417,2026-08-07,ok,0,0,0.000000
43,Hampus Lindholm,Q3077684,cs|de|fi|fr|ru|sv,cs|de|fi|fr|ru|sv,32128,"{""cs"": 2897, ""de"": 3410, ""fi"": 2577, ""fr"": 2003, ""ru"": 5432, ""sv"": 15809}",20231010,20260417,2026-08-07,ok,2,327,0.010178
