team_code,first_name,last_name,position,wikipedia_slug,wiki_12mo
CHI,Connor,Bedard,C,Connor_Bedard,536220
CHI,Tyler,Bertuzzi,L,Tyler_Bertuzzi,111810
CHI,Sacha,Boisvert,C,Sacha_Boisvert,27607
CHI,Andre,Burakovsky,L,Andre_Burakovsky,996
CHI,Ryan,Donato,C,Ryan_Donato,41847
CHI,Anton,Frondell,C,Anton_Frondell,98242
CHI,Ryan,Greene,C,Ryan_Greene,7373
CHI,Sam,Lafferty,C,Sam_Lafferty,22669
CHI,Nick,Lardis,L,Nick_Lardis,13706
CHI,Andrew,Mangiapane,L,Andrew_Mangiapane,86928
CHI,Ilya,Mikheyev,R,Ilya_Mikheyev,30577
CHI,Oliver,Moore,C,Oliver_Moore,30965
CHI,Frank,Nazar,C,Frank_Nazar,106025
CHI,Landon,Slaggert,L,Landon_Slaggert,10703
CHI,Teuvo,Teravainen,C,Teuvo_Teravainen,857
CHI,Dominic,Toninato,C,Dominic_Toninato,11232
CHI,Louis,Crevier,D,Louis_Crevier,19367
CHI,Ethan,Del Mastro,D,Ethan_Del_Mastro,8588
CHI,Matt,Grzelcyk,D,Matt_Grzelcyk,34251
CHI,Wyatt,Kaiser,D,Wyatt_Kaiser,16724
CHI,Kevin,Korchinski,D,Kevin_Korchinski,23891
CHI,Artyom,Levshunov,D,Artyom_Levshunov,64986
CHI,Sam,Rinzel,D,Sam_Rinzel,23337
CHI,Alex,Vlasic,D,Alex_Vlasic,46798
CHI,Spencer,Knight,G,Spencer_Knight,87336
CHI,Arvid,Soderblom,G,,
COL,Zakhar,Bardakov,C,Zakhar_Bardakov,13521
COL,Ross,Colton,C,Ross_Colton,27537
COL,Jack,Drury,C,Jack_Drury,58434
COL,Nazem,Kadri,C,Nazem_Kadri,232177
COL,Parker,Kelly,C,Parker_Kelly,29272
COL,Joel,Kiviranta,L,Joel_Kiviranta,17925
COL,Gabriel,Landeskog,L,Gabriel_Landeskog,172849
COL,Artturi,Lehkonen,L,Artturi_Lehkonen,39420
COL,Nathan,MacKinnon,C,Nathan_MacKinnon,510093
COL,Martin,Necas,C,Martin_Necas,927
COL,Brock,Nelson,C,Brock_Nelson,323706
COL,Valeri,Nichushkin,R,Valeri_Nichushkin,43359
COL,Logan,O'Connor,R,Logan_O'Connor,20482
COL,Nicolas,Roy,C,Nicolas_Roy,197163
COL,Jack,Ahcan,D,Jack_Ahcan,12726
COL,Nick,Blankenburg,D,Nick_Blankenburg,22649
COL,Brent,Burns,D,Brent_Burns,273846
COL,Alex,Gagne,D,Alex_Gagne,1
COL,Brett,Kulak,D,Brett_Kulak,81827
COL,Cale,Makar,D,Cale_Makar,394684
COL,Sam,Malinski,D,Sam_Malinski,33057
COL,Josh,Manson,D,Josh_Manson,42887
COL,Devon,Toews,D,Devon_Toews,147900
COL,Mackenzie,Blackwood,G,Mackenzie_Blackwood,59932
COL,Isak,Posch,G,Isak_Posch,122
COL,Scott,Wedgewood,G,Scott_Wedgewood,78537
EDM,Colton,Dach,C,Colton_Dach,68904
EDM,Jason,Dickinson,C,Jason_Dickinson,40433
EDM,Leon,Draisaitl,C,Leon_Draisaitl,475963
EDM,Trent,Frederic,C,Trent_Frederic,64003
EDM,Adam,Henrique,C,Adam_Henrique,54804
EDM,Zach,Hyman,L,Zach_Hyman,154957
EDM,Mattias,Janmark,C,Mattias_Janmark,22546
EDM,Max,Jones,L,Max_Jones,793
EDM,Kasperi,Kapanen,R,Kasperi_Kapanen,114623
EDM,Curtis,Lazar,C,Curtis_Lazar,49743
EDM,Connor,McDavid,C,Connor_McDavid,1312070
EDM,Ryan,Nugent-Hopkins,C,Ryan_Nugent-Hopkins,168881
EDM,Vasily,Podkolzin,R,Vasily_Podkolzin,62428
EDM,Jack,Roslovic,C,Jack_Roslovic,105864
EDM,Josh,Samanski,C,Josh_Samanski,22829
EDM,Matt,Savoie,C,Matt_Savoie,297
EDM,Evan,Bouchard,D,Evan_Bouchard,114272
EDM,Mattias,Ekholm,D,Mattias_Ekholm,49738
EDM,Ty,Emberson,D,Ty_Emberson,19916
EDM,Connor,Murphy,D,Connor_Murphy,65639
EDM,Darnell,Nurse,D,Darnell_Nurse,161297
EDM,Spencer,Stastney,D,Spencer_Stastney,53541
EDM,Jake,Walman,D,Jake_Walman,85396
EDM,Connor,Ingram,G,Connor_Ingram,128282
EDM,Tristan,Jarry,G,Tristan_Jarry,164203
EDM,Calvin,Pickard,G,Calvin_Pickard,102122
FLA,Aleksander,Barkov,C,Aleksander_Barkov,285097
FLA,Sam,Bennett,C,Sam_Bennett,3148
FLA,Jesper,Boqvist,C,Jesper_Boqvist,25039
FLA,Jonah,Gadjovich,L,Jonah_Gadjovich,50301
FLA,A.J.,Greer,L,A.J._Greer,2174
FLA,Vinnie,Hinostroza,C,Vinnie_Hinostroza,28628
FLA,Luke,Kunin,C,Luke_Kunin,30659
FLA,Anton,Lundell,C,Anton_Lundell,52773
FLA,Eetu,Luostarinen,C,Eetu_Luostarinen,32858
