team_code,player_id_nhl,first_name,last_name,position,group
CHI,8484144,Connor,Bedard,C,forwards
CHI,8477479,Tyler,Bertuzzi,L,forwards
CHI,8484793,Sacha,Boisvert,C,forwards
CHI,8477444,Andre,Burakovsky,L,forwards
CHI,8477987,Ryan,Donato,C,forwards
CHI,8485391,Anton,Frondell,C,forwards
CHI,8483450,Ryan,Greene,C,forwards
CHI,8478043,Sam,Lafferty,C,forwards
CHI,8484185,Nick,Lardis,L,forwards
CHI,8478233,Andrew,Mangiapane,L,forwards
CHI,8481624,Ilya,Mikheyev,R,forwards
CHI,8484197,Oliver,Moore,C,forwards
CHI,8483493,Frank,Nazar,C,forwards
CHI,8482172,Landon,Slaggert,L,forwards
CHI,8476882,Teuvo,Teravainen,C,forwards
CHI,8476952,Dominic,Toninato,C,forwards
CHI,8481806,Louis,Crevier,D,defensemen
CHI,8482807,Ethan,Del Mastro,D,defensemen
CHI,8476891,Matt,Grzelcyk,D,defensemen
CHI,8482176,Wyatt,Kaiser,D,defensemen
CHI,8483466,Kevin,Korchinski,D,defensemen
CHI,8484783,Artyom,Levshunov,D,defensemen
CHI,8483506,Sam,Rinzel,D,defensemen
CHI,8481568,Alex,Vlasic,D,defensemen
CHI,8481519,Spencer,Knight,G,goalies
CHI,8482821,Arvid,Soderblom,G,goalies
COL,8482947,Zakhar,Bardakov,C,forwards
COL,8479525,Ross,Colton,C,forwards
COL,8480835,Jack,Drury,C,forwards
COL,8475172,Nazem,Kadri,C,forwards
COL,8480448,Parker,Kelly,C,forwards
COL,8481641,Joel,Kiviranta,L,forwards
COL,8476455,Gabriel,Landeskog,L,forwards
COL,8477476,Artturi,Lehkonen,L,forwards
COL,8477492,Nathan,MacKinnon,C,forwards
COL,8480039,Martin,Necas,C,forwards
COL,8475754,Brock,Nelson,C,forwards
COL,8477501,Valeri,Nichushkin,R,forwards
COL,8481186,Logan,O'Connor,R,forwards
COL,8478462,Nicolas,Roy,C,forwards
COL,8482072,Jack,Ahcan,D,defensemen
COL,8483565,Nick,Blankenburg,D,defensemen
COL,8470613,Brent,Burns,D,defensemen
COL,8482942,Alex,Gagne,D,defensemen
COL,8476967,Brett,Kulak,D,defensemen
COL,8480069,Cale,Makar,D,defensemen
COL,8484258,Sam,Malinski,D,defensemen
COL,8476312,Josh,Manson,D,defensemen
COL,8478038,Devon,Toews,D,defensemen
COL,8478406,Mackenzie,Blackwood,G,goalies
COL,8485473,Isak,Posch,G,goalies
COL,8475809,Scott,Wedgewood,G,goalies
EDM,8482703,Colton,Dach,C,forwards
EDM,8477450,Jason,Dickinson,C,forwards
EDM,8477934,Leon,Draisaitl,C,forwards
EDM,8479365,Trent,Frederic,C,forwards
EDM,8474641,Adam,Henrique,C,forwards
EDM,8475786,Zach,Hyman,L,forwards
EDM,8477406,Mattias,Janmark,C,forwards
EDM,8479368,Max,Jones,L,forwards
EDM,8477953,Kasperi,Kapanen,R,forwards
EDM,8477508,Curtis,Lazar,C,forwards
EDM,8478402,Connor,McDavid,C,forwards
EDM,8476454,Ryan,Nugent-Hopkins,C,forwards
EDM,8481617,Vasily,Podkolzin,R,forwards
EDM,8478458,Jack,Roslovic,C,forwards
EDM,8484509,Josh,Samanski,C,forwards
EDM,8483512,Matt,Savoie,C,forwards
EDM,8480803,Evan,Bouchard,D,defensemen
EDM,8475218,Mattias,Ekholm,D,defensemen
EDM,8480834,Ty,Emberson,D,defensemen
EDM,8476473,Connor,Murphy,D,defensemen
EDM,8477498,Darnell,Nurse,D,defensemen
EDM,8481056,Spencer,Stastney,D,defensemen
EDM,8478013,Jake,Walman,D,defensemen
EDM,8478971,Connor,Ingram,G,goalies
EDM,8477465,Tristan,Jarry,G,goalies
EDM,8475717,Calvin,Pickard,G,goalies
FLA,8477493,Aleksander,Barkov,C,forwards
FLA,8477935,Sam,Bennett,C,forwards
FLA,8480003,Jesper,Boqvist,C,forwards
FLA,8479981,Jonah,Gadjovich,L,forwards
FLA,8478421,A.J.,Greer,L,forwards
FLA,8476994,Vinnie,Hinostroza,C,forwards
FLA,8479316,Luke,Kunin,C,forwards
FLA,8482113,Anton,Lundell,C,forwards
FLA,8480185,Eetu,Luostarinen,C,forwards
FLA,8473419,Brad,Marchand,L,forwards
FLA,8477931,Tomas,Nosek,L,forwards
FLA,8481133,Cole,Reinhardt,L,forwards
FLA,8477933,Sam,Reinhart,C,forwards
FLA,8478542,Evan,Rodrigues,C,forwards
FLA,8482713,Mackie,Samoskevich,R,forwards
FLA,8481655,Cole,Schwindt,C,forwards
FLA,8479314,Matthew,Tkachuk,L,forwards
FLA,8477409,Carter,Verhaeghe,C,forwards
FLA,8484304,Uvis,Balinskis,D,defensemen
FLA,8477932,Aaron,Ekblad,D,defensemen
FLA,8478055,Gustav,Forsling,D,defensemen
FLA,8477495,Seth,Jones,D,defensemen
FLA,8475179,Dmitry,Kulikov,D,defensemen
FLA,8478859,Niko,Mikkola,D,defensemen
FLA,8482131,Donovan,Sebrango,D,defensemen
FLA,8475683,Sergei,Bobrovsky,G,goalies
FLA,8480193,Daniil,Tarasov,G,goalies
NJD,8475760,Nick,Bjugstad,C,forwards
NJD,8479407,Jesper,Bratt,L,forwards
NJD,8477015,Connor,Brown,R,forwards
NJD,8481032,Paul,Cotter,L,forwards
