team_code,team_name,division,metro_population,arena_attendance,team_ig_handle,team_social_followers,components_present,notes
ANA,Anaheim Ducks,Pacific,12844441,16046,anaheimducks,,metro_population|arena_attendance,shares Los Angeles MSA (Anaheim in Greater LA); team_social_followers dropped (instaloader blocked unauthenticated at $0)
BOS,Boston Bruins,Atlantic,5034221,17850,nhlbruins,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
BUF,Buffalo Sabres,Atlantic,1155653,16127,buffalosabres,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
CGY,Calgary Flames,Pacific,1481806,18249,nhlflames,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
CAR,Carolina Hurricanes,Metropolitan,1595720,18700,canes,,metro_population|arena_attendance,"plays in Raleigh, NC; team_social_followers dropped (instaloader blocked unauthenticated at $0)"
CHI,Chicago Blackhawks,Central,9434123,19277,nhlblackhawks,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
COL,Colorado Avalanche,Central,3092037,18133,coloradoavalanche,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
CBJ,Columbus Blue Jackets,Metropolitan,2242028,17531,bluejacketsnhl,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
DAL,Dallas Stars,Central,8477157,18148,dallasstars,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
DET,Detroit Red Wings,Atlantic,4390913,18843,detroitredwings,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
EDM,Edmonton Oilers,Pacific,1418118,18347,edmontonoilers,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
FLA,Florida Panthers,Atlantic,6391072,19417,flapanthers,,metro_population|arena_attendance,"plays in Sunrise, FL (Miami MSA); team_social_followers dropped (instaloader blocked unauthenticated at $0)"
LA,Los Angeles Kings,Pacific,12844441,18204,lakings,,metro_population|arena_attendance,shares Los Angeles MSA (Anaheim in Greater LA); team_social_followers dropped (instaloader blocked unauthenticated at $0)
MIN,Minnesota Wild,Central,3790295,18790,minnesotawild,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
MON,Montreal Canadiens,Atlantic,4291732,21105,canadiensmtl,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
NAS,Nashville Predators,Central,2197416,17345,predsnhl,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
NJ,New Jersey Devils,Metropolitan,20112448,16514,njdevils,,metro_population|arena_attendance,Newark is inside the New York-Newark-Jersey City MSA; carries NY metro figure; team_social_followers dropped (instaloader blocked unauthenticated at $0)
NYI,New York Islanders,Metropolitan,20112448,17255,newyorkislanders,,metro_population|arena_attendance,shares New York MSA (two-team market per pre-reg); team_social_followers dropped (instaloader blocked unauthenticated at $0)
NYR,New York Rangers,Metropolitan,20112448,18006,nyrangers,,metro_population|arena_attendance,shares New York MSA (two-team market per pre-reg); team_social_followers dropped (instaloader blocked unauthenticated at $0)
OTT,Ottawa Senators,Atlantic,1488307,18309,senators,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
PHI,Philadelphia Flyers,Metropolitan,6329118,18589,nhlflyers,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
PIT,Pittsburgh Penguins,Metropolitan,2421992,17452,penguins,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
SJ,San Jose Sharks,Pacific,1984473,14472,sanjosesharks,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
SEA,Seattle Kraken,Pacific,4161883,17151,seattlekraken,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
STL,St Louis Blues,Central,2814421,18096,stlouisblues,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
TB,Tampa Bay Lightning,Atlantic,3418895,19092,tblightning,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
TOR,Toronto Maple Leafs,Atlantic,6202225,18572,mapleleafs,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
UTA,Utah Mammoth,Central,1308377,16044,utahmammoth,,metro_population|arena_attendance,"Utah Mammoth, relocated to Salt Lake City 2024-25; team_social_followers dropped (instaloader blocked unauthenticated at $0)"
VAN,Vancouver Canucks,Pacific,2642825,18834,canucks,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
VEG,Vegas Golden Knights,Pacific,2407226,17973,vegasgoldenknights,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
WAS,Washington Capitals,Metropolitan,6465724,18573,capitals,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
WPG,Winnipeg Jets,Central,834678,14775,nhljets,,metro_population|arena_attendance,team_social_followers dropped (instaloader blocked unauthenticated at $0)
