player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,fetch_date
1,Cutter Gauthier,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8483445,Cutter_Gauthier,cutter-gauthier,nhl_toi_position,2026-05-28
2,Mikael Granlund,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8475798,Mikael_Granlund,mikael-granlund,nhl_toi_position,2026-05-28
3,Troy Terry,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8478873,Troy_Terry,troy-terry,nhl_toi_position,2026-05-28
4,Jackson LaCombe,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8481605,Jackson_LaCombe,jackson-lacombe,nhl_toi_position,2026-05-28
5,John Carlson,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8474590,John_Carlson,john-carlson,nhl_toi_position,2026-05-28
6,Viktor Arvidsson,L,f1,f1:L,BOS,BOS,boston-bruins,Boston,8478042,Viktor_Arvidsson,viktor-arvidsson,nhl_toi_position,2026-05-28
7,Elias Lindholm,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8477496,Elias_Lindholm,elias-lindholm,nhl_toi_position,2026-05-28
8,David Pastrnak,R,f1,f1:R,BOS,BOS,boston-bruins,Boston,8477956,David_Pastrnak,david-pastrnak,nhl_toi_position,2026-05-28
9,Charlie McAvoy,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8479325,Charlie_McAvoy,charlie-mcavoy,nhl_toi_position,2026-05-28
10,Hampus Lindholm,D,d1,d1:D,BOS,BOS,boston-bruins,Boston,8476854,Hampus_Lindholm,hampus-lindholm,nhl_toi_position,2026-05-28
11,Zach Benson,L,f1,f1:L,BUF,BUF,buffalo-sabres,Buffalo,8484145,Zach_Benson,zach-benson,nhl_toi_position,2026-05-28
12,Tage Thompson,C,f1,f1:C,BUF,BUF,buffalo-sabres,Buffalo,8479420,Tage_Thompson,tage-thompson,nhl_toi_position,2026-05-28
13,Alex Tuch,R,f1,f1:R,BUF,BUF,buffalo-sabres,Buffalo,8477949,Alex_Tuch,alex-tuch,nhl_toi_position,2026-05-28
14,Rasmus Dahlin,D,d1,d1:D,BUF,BUF,buffalo-sabres,Buffalo,8480839,Rasmus_Dahlin,rasmus-dahlin,nhl_toi_position,2026-05-28
15,Mattias Samuelsson,D,d1,d1:D,BUF,BUF,buffalo-sabres,Buffalo,8480807,Mattias_Samuelsson,mattias-samuelsson,nhl_toi_position,2026-05-28
16,Jonathan Huberdeau,L,f1,f1:L,CGY,CGY,calgary-flames,Calgary,8476456,Jonathan_Huberdeau,jonathan-huberdeau,nhl_toi_position,2026-05-28
17,Mikael Backlund,C,f1,f1:C,CGY,CGY,calgary-flames,Calgary,8474150,Mikael_Backlund,mikael-backlund,nhl_toi_position,2026-05-28
18,Matt Coronato,R,f1,f1:R,CGY,CGY,calgary-flames,Calgary,8482679,Matt_Coronato,matt-coronato,nhl_toi_position,2026-05-28
19,Kevin Bahl,D,d1,d1:D,CGY,CGY,calgary-flames,Calgary,8480860,Kevin_Bahl,kevin-bahl,nhl_toi_position,2026-05-28
20,Zach Whitecloud,D,d1,d1:D,CGY,CGY,calgary-flames,Calgary,8480727,Zach_Whitecloud,zach-whitecloud,nhl_toi_position,2026-05-28
21,Nikolaj Ehlers,L,f1,f1:L,CAR,CAR,carolina-hurricanes,Carolina,8477940,Nikolaj_Ehlers,nikolaj-ehlers,nhl_toi_position,2026-05-28
22,Sebastian Aho,C,f1,f1:C,CAR,CAR,carolina-hurricanes,Carolina,8478427,Sebastian_Aho,sebastian-aho,nhl_toi_position,2026-05-28
23,Andrei Svechnikov,R,f1,f1:R,CAR,CAR,carolina-hurricanes,Carolina,8480830,Andrei_Svechnikov,andrei-svechnikov,nhl_toi_position,2026-05-28
24,K'Andre Miller,D,d1,d1:D,CAR,CAR,carolina-hurricanes,Carolina,8480817,K'Andre_Miller,kandre-miller,nhl_toi_position,2026-05-28
25,Sean Walker,D,d1,d1:D,CAR,CAR,carolina-hurricanes,Carolina,8480336,Sean_Walker,sean-walker,nhl_toi_position,2026-05-28
26,Tyler Bertuzzi,L,f1,f1:L,CHI,CHI,chicago-blackhawks,Chicago,8477479,Tyler_Bertuzzi,tyler-bertuzzi,nhl_toi_position,2026-05-28
27,Connor Bedard,C,f1,f1:C,CHI,CHI,chicago-blackhawks,Chicago,8484144,Connor_Bedard,connor-bedard,nhl_toi_position,2026-05-28
28,Ilya Mikheyev,R,f1,f1:R,CHI,CHI,chicago-blackhawks,Chicago,8481624,Ilya_Mikheyev,ilya-mikheyev,nhl_toi_position,2026-05-28
29,Alex Vlasic,D,d1,d1:D,CHI,CHI,chicago-blackhawks,Chicago,8481568,Alex_Vlasic,alex-vlasic,nhl_toi_position,2026-05-28
30,Wyatt Kaiser,D,d1,d1:D,CHI,CHI,chicago-blackhawks,Chicago,8482176,Wyatt_Kaiser,wyatt-kaiser,nhl_toi_position,2026-05-28
31,Artturi Lehkonen,L,f1,f1:L,COL,COL,colorado-avalanche,Colorado,8477476,Artturi_Lehkonen,artturi-lehkonen,nhl_toi_position,2026-05-28
32,Nathan MacKinnon,C,f1,f1:C,COL,COL,colorado-avalanche,Colorado,8477492,Nathan_MacKinnon,nathan-mackinnon,nhl_toi_position,2026-05-28
33,Valeri Nichushkin,R,f1,f1:R,COL,COL,colorado-avalanche,Colorado,8477501,Valeri_Nichushkin,valeri-nichushkin,nhl_toi_position,2026-05-28
34,Cale Makar,D,d1,d1:D,COL,COL,colorado-avalanche,Colorado,8480069,Cale_Makar,cale-makar,nhl_toi_position,2026-05-28
35,Devon Toews,D,d1,d1:D,COL,COL,colorado-avalanche,Colorado,8478038,Devon_Toews,devon-toews,nhl_toi_position,2026-05-28
36,Mason Marchment,L,f1,f1:L,CBJ,CBJ,columbus-blue-jackets,Columbus,8478975,Mason_Marchment,mason-marchment,nhl_toi_position,2026-05-28
37,Adam Fantilli,C,f1,f1:C,CBJ,CBJ,columbus-blue-jackets,Columbus,8484166,Adam_Fantilli,adam-fantilli,nhl_toi_position,2026-05-28
38,Kirill Marchenko,R,f1,f1:R,CBJ,CBJ,columbus-blue-jackets,Columbus,8480893,Kirill_Marchenko,kirill-marchenko,nhl_toi_position,2026-05-28
39,Zach Werenski,D,d1,d1:D,CBJ,CBJ,columbus-blue-jackets,Columbus,8478460,Zach_Werenski,zach-werenski,nhl_toi_position,2026-05-28
40,Ivan Provorov,D,d1,d1:D,CBJ,CBJ,columbus-blue-jackets,Columbus,8478500,Ivan_Provorov,ivan-provorov,nhl_toi_position,2026-05-28
41,Jason Robertson,L,f1,f1:L,DAL,DAL,dallas-stars,Dallas,8480027,Jason_Robertson,jason-robertson,nhl_toi_position,2026-05-28
