player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,roster_snapshot_date,fetch_date,cur_gp_2025_26,career_nhl_gp,kept,drop_reason
1,Leo Carlsson,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8484153,Leo_Carlsson,leo-carlsson,nhl_roster_full,2026-06-17,2026-06-17,70,201,1,kept_played_2025_26
2,Nathan Gaucher,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8483444,Nathan_Gaucher,nathan-gaucher,nhl_roster_full,2026-06-17,2026-06-17,3,3,1,kept_played_2025_26
3,Cutter Gauthier,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8483445,Cutter_Gauthier,cutter-gauthier,nhl_roster_full,2026-06-17,2026-06-17,76,159,1,kept_played_2025_26
4,Mikael Granlund,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8475798,Mikael_Granlund,mikael-granlund,nhl_roster_full,2026-06-17,2026-06-17,58,960,1,kept_played_2025_26
5,Jansen Harkins,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8478424,Jansen_Harkins,jansen-harkins,nhl_roster_full,2026-06-17,2026-06-17,44,305,1,kept_played_2025_26
6,Ross Johnston,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8477527,Ross_Johnston,ross-johnston,nhl_roster_full,2026-06-17,2026-06-17,62,307,1,kept_played_2025_26
7,Alex Killorn,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8473986,Alex_Killorn,alex-killorn,nhl_roster_full,2026-06-17,2026-06-17,82,1032,1,kept_played_2025_26
8,Chris Kreider,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8475184,Chris_Kreider,chris-kreider,nhl_roster_full,2026-06-17,2026-06-17,75,958,1,kept_played_2025_26
9,Mason McTavish,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8482745,Mason_McTavish,mason-mctavish,nhl_roster_full,2026-06-17,2026-06-17,75,304,1,kept_played_2025_26
10,Nico Myatovic,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8484201,Nico_Myatovic,nico-myatovic,nhl_roster_full,2026-06-17,2026-06-17,0,0,0,dropped_never_played_nhl
11,Ryan Poehling,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8480068,Ryan_Poehling,ryan-poehling,nhl_roster_full,2026-06-17,2026-06-17,75,358,1,kept_played_2025_26
12,Beckett Sennecke,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8484762,Beckett_Sennecke,beckett-sennecke,nhl_roster_full,2026-06-17,2026-06-17,82,82,1,kept_played_2025_26
13,Troy Terry,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8478873,Troy_Terry,troy-terry,nhl_roster_full,2026-06-17,2026-06-17,61,488,1,kept_played_2025_26
14,Frank Vatrano,R,f1,f1:R,ANA,ANA,anaheim-ducks,Anaheim,8478366,Frank_Vatrano,frank-vatrano,nhl_roster_full,2026-06-17,2026-06-17,50,695,1,kept_played_2025_26
15,Jeffrey Viel,L,f1,f1:L,ANA,ANA,anaheim-ducks,Anaheim,8479705,Jeffrey_Viel,jeffrey-viel,nhl_roster_full,2026-06-17,2026-06-17,45,99,1,kept_played_2025_26
16,Tim Washe,C,f1,f1:C,ANA,ANA,anaheim-ducks,Anaheim,8485512,Tim_Washe,tim-washe,nhl_roster_full,2026-06-17,2026-06-17,39,41,1,kept_played_2025_26
17,John Carlson,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8474590,John_Carlson,john-carlson,nhl_roster_full,2026-06-17,2026-06-17,71,1159,1,kept_played_2025_26
18,Radko Gudas,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8475462,Radko_Gudas,radko-gudas,nhl_roster_full,2026-06-17,2026-06-17,56,885,1,kept_played_2025_26
19,Drew Helleson,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8481563,Drew_Helleson,drew-helleson,nhl_roster_full,2026-06-17,2026-06-17,60,119,1,kept_played_2025_26
20,Tyson Hinds,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8482731,Tyson_Hinds,tyson-hinds,nhl_roster_full,2026-06-17,2026-06-17,6,6,1,kept_played_2025_26
21,Jackson LaCombe,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8481605,Jackson_LaCombe,jackson-lacombe,nhl_roster_full,2026-06-17,2026-06-17,82,230,1,kept_played_2025_26
22,Pavel Mintyukov,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8483490,Pavel_Mintyukov,pavel-mintyukov,nhl_roster_full,2026-06-17,2026-06-17,73,204,1,kept_played_2025_26
23,Ian Moore,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8482178,Ian_Moore,ian-moore,nhl_roster_full,2026-06-17,2026-06-17,67,70,1,kept_played_2025_26
24,Stian Solberg,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8484859,Stian_Solberg,stian-solberg,nhl_roster_full,2026-06-17,2026-06-17,0,0,0,dropped_never_played_nhl
25,Jacob Trouba,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8476885,Jacob_Trouba,jacob-trouba,nhl_roster_full,2026-06-17,2026-06-17,81,906,1,kept_played_2025_26
26,Noah Warren,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8483521,Noah_Warren,noah-warren,nhl_roster_full,2026-06-17,2026-06-17,0,0,0,dropped_never_played_nhl
27,Olen Zellweger,D,d1,d1:D,ANA,ANA,anaheim-ducks,Anaheim,8482803,Olen_Zellweger,olen-zellweger,nhl_roster_full,2026-06-17,2026-06-17,76,164,1,kept_played_2025_26
28,Viktor Arvidsson,L,f1,f1:L,BOS,BOS,boston-bruins,Boston,8478042,Viktor_Arvidsson,viktor-arvidsson,nhl_roster_full,2026-06-17,2026-06-17,69,682,1,kept_played_2025_26
29,Michael Eyssimont,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8479591,Michael_Eyssimont,michael-eyssimont,nhl_roster_full,2026-06-17,2026-06-17,56,269,1,kept_played_2025_26
30,Morgan Geekie,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8479987,Morgan_Geekie,morgan-geekie,nhl_roster_full,2026-06-17,2026-06-17,81,414,1,kept_played_2025_26
31,James Hagens,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8485395,James_Hagens,james-hagens,nhl_roster_full,2026-06-17,2026-06-17,2,2,1,kept_played_2025_26
32,Tanner Jeannot,L,f1,f1:L,BOS,BOS,boston-bruins,Boston,8479661,Tanner_Jeannot,tanner-jeannot,nhl_roster_full,2026-06-17,2026-06-17,77,371,1,kept_played_2025_26
33,Mark Kastelic,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8480355,Mark_Kastelic,mark-kastelic,nhl_roster_full,2026-06-17,2026-06-17,82,287,1,kept_played_2025_26
34,Marat Khusnutdinov,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8482177,Marat_Khusnutdinov,marat-khusnutdinov,nhl_roster_full,2026-06-17,2026-06-17,77,168,1,kept_played_2025_26
35,Sean Kuraly,C,f1,f1:C,BOS,BOS,boston-bruins,Boston,8476374,Sean_Kuraly,sean-kuraly,nhl_roster_full,2026-06-17,2026-06-17,82,644,1,kept_played_2025_26
