player_id,full_name,nhl_player_id,capwages_nhlid,cap_hit_M,season,cap_quality,cap_note,source_url,fetched_at
1,Chris Kreider,8475184,8475184,6.5000,2025-26,ok,,https://capwages.com/players/chris-kreider,2026-05-27T16:15:20.795074+00:00
2,Leo Carlsson,8484153,8484153,0.9500,2025-26,ok,,https://capwages.com/players/leo-carlsson,2026-05-27T16:15:20.795074+00:00
3,Troy Terry,8478873,8478873,7.0000,2025-26,ok,,https://capwages.com/players/troy-terry,2026-05-27T16:15:20.795074+00:00
4,Jacob Trouba,8476885,8476885,8.0000,2025-26,ok,,https://capwages.com/players/jacob-trouba,2026-05-27T16:15:20.795074+00:00
5,Jackson Lacombe,8481605,8481605,0.9250,2025-26,ok,,https://capwages.com/players/jackson-lacombe,2026-05-27T16:15:20.795074+00:00
6,David Pastrnak,8477956,8477956,11.2500,2025-26,ok,,https://capwages.com/players/david-pastrnak,2026-05-27T16:15:20.795074+00:00
7,Pavel Zacha,8478401,8478401,4.7500,2025-26,ok,,https://capwages.com/players/pavel-zacha,2026-05-27T16:15:20.795074+00:00
8,Marat Khusnutdinov,8482177,8482177,0.9250,2025-26,ok,,https://capwages.com/players/marat-khusnutdinov,2026-05-27T16:15:20.795074+00:00
9,Charlie McAvoy,8479325,8479325,9.5000,2025-26,ok,,https://capwages.com/players/charlie-mcavoy,2026-05-27T16:15:20.795074+00:00
10,Jonathan Aspirot,8481219,8481219,0.7750,2025-26,ok,,https://capwages.com/players/jonathan-aspirot,2026-05-27T16:15:20.795074+00:00
11,Zach Benson,8484145,8484145,0.9500,2025-26,ok,,https://capwages.com/players/zach-benson,2026-05-27T16:15:20.795074+00:00
12,Josh Norris,8480064,8480064,7.9500,2025-26,ok,,https://capwages.com/players/josh-norris,2026-05-27T16:15:20.795074+00:00
13,Tage Thompson,8479420,8479420,7.1429,2025-26,ok,,https://capwages.com/players/tage-thompson,2026-05-27T16:15:20.795074+00:00
14,Rasmus Dahlin,8480839,8480839,11.0000,2025-26,ok,,https://capwages.com/players/rasmus-dahlin,2026-05-27T16:15:20.795074+00:00
15,Mattias Samuelsson,8480807,8480807,4.2857,2025-26,ok,,https://capwages.com/players/mattias-samuelsson,2026-05-27T16:15:20.795074+00:00
