player_id,full_name,instagram_handle,instagram_followers,resolved_from,ig_status,fetch_date
1,Chris Kreider,,,,no_handle,2026-05-27
2,Leo Carlsson,,,,no_handle,2026-05-27
3,Troy Terry,,,,no_handle,2026-05-27
4,Jacob Trouba,,,,no_handle,2026-05-27
5,Jackson Lacombe,,,,no_handle,2026-05-27
6,David Pastrnak,davidpastrnak,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
7,Pavel Zacha,,,,no_handle,2026-05-27
8,Marat Khusnutdinov,,,,no_handle,2026-05-27
9,Charlie McAvoy,cmcavoy25,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
10,Jonathan Aspirot,,,,no_handle,2026-05-27
11,Zach Benson,,,,no_handle,2026-05-27
12,Josh Norris,,,,no_handle,2026-05-27
13,Tage Thompson,tommer97,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
14,Rasmus Dahlin,rasmusdahlinn,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
15,Mattias Samuelsson,,,,no_handle,2026-05-27
16,Mikael Backlund,,,,no_handle,2026-05-27
17,Blake Coleman,,,,no_handle,2026-05-27
18,Joel Farabee,,,,no_handle,2026-05-27
19,Zach Whitecloud,,,,no_handle,2026-05-27
20,Zayne Parekh,,,,no_handle,2026-05-27
21,Sebastian Aho,ssebastianaho,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
22,Andrei Svechnikov,,,,no_handle,2026-05-27
23,Seth Jarvis,sethjarvis_,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
24,Jaccob Slavin,jslavin74,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
25,Jalen Chatfield,,,,no_handle,2026-05-27
26,Frank Nazar,,,,no_handle,2026-05-27
27,Connor Bedard,,,,no_handle,2026-05-27
28,Nick Lardis,,,,no_handle,2026-05-27
29,Alex Vlasic,,,,no_handle,2026-05-27
30,Louis Crevier,,,,no_handle,2026-05-27
31,Nathan MacKinnon,mackinnon29,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
32,Gabriel Landeskog,landeskog.92,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
33,Artturi Lehkonen,arainumos,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
34,Cale Makar,calemakar_,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
35,Devon Toews,,,,no_handle,2026-05-27
36,Kirill Marchenko,,,,no_handle,2026-05-27
37,Adam Fantilli,,,,no_handle,2026-05-27
38,Isac Lundestrom,,,,no_handle,2026-05-27
39,Zach Werenski,odette_werenski,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
40,Dante Fabbro,,,,no_handle,2026-05-27
41,Jason Robertson,,,,no_handle,2026-05-27
42,Wyatt Johnston,,,,no_handle,2026-05-27
43,Mavrik Bourque,,,,no_handle,2026-05-27
44,Miro Heiskanen,miroheiskanen,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
45,Thomas Harley,t.harley48,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
46,Carter Mazur,,,,no_handle,2026-05-27
47,Emmitt Finnie,,,,no_handle,2026-05-27
48,Lucas Raymond,lucasraymonds,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
49,Simon Edvinsson,,,,no_handle,2026-05-27
50,Moritz Seider,,,,no_handle,2026-05-27
51,Leon Draisaitl,bowiesworldd,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
52,Connor McDavid,mcdavid97,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
53,Kasperi Kapanen,kasperikapanen1,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
54,Mattias Ekholm,,,,no_handle,2026-05-27
55,Evan Bouchard,,,,no_handle,2026-05-27
56,Matthew Tkachuk,matthew_tkachuk,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
57,Luke Kunin,,,,no_handle,2026-05-27
58,Cole Reinhardt,,,,no_handle,2026-05-27
59,Donovan Sebrango,,,,no_handle,2026-05-27
60,Michael Benning,,,,no_handle,2026-05-27
61,Artemi Panarin,,,,no_handle,2026-05-27
62,Anze Kopitar,,,,no_handle,2026-05-27
63,Adrian Kempe,adriankempe,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
64,Drew Doughty,dewycox8,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
65,Mikey Anderson,,,,no_handle,2026-05-27
66,Mats Zuccarello,,,,no_handle,2026-05-27
67,Ryan Hartman,,,,no_handle,2026-05-27
68,Kirill Kaprizov,,,,no_handle,2026-05-27
69,Quinn Hughes,_quinnhughes,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
70,Brock Faber,brockfaber14,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
71,Cole Caufield,,,,no_handle,2026-05-27
72,Nick Suzuki,nsuzuki_37,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
73,Juraj Slafkovsky,_slafkovsky_,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
74,Mike Matheson,,,,no_handle,2026-05-27
75,Noah Dobson,,,,no_handle,2026-05-27
76,Steven Stamkos,,,,no_handle,2026-05-27
77,Ryan O'Reilly,,,,no_handle,2026-05-27
78,Cole O'Hara,,,,no_handle,2026-05-27
79,Brady Skjei,,,,no_handle,2026-05-27
80,Nick Perbix,,,,no_handle,2026-05-27
81,Timo Meier,,,,no_handle,2026-05-27
82,Nico Hischier,,,,no_handle,2026-05-27
83,Dawson Mercer,,,,no_handle,2026-05-27
84,Dougie Hamilton,,,,no_handle,2026-05-27
85,Jonas Siegenthaler,,,,no_handle,2026-05-27
86,Bo Horvat,bohorvat,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
87,Simon Holmstrom,,,,no_handle,2026-05-27
88,Victor Eklund,,,,no_handle,2026-05-27
89,Adam Pelech,,,,no_handle,2026-05-27
90,Matthew Schaefer,,,,no_handle,2026-05-27
91,Mika Zibanejad,zibanejad93,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
92,Gabriel Perreault,,,,no_handle,2026-05-27
93,Alexis Lafrenière,,,,no_handle,2026-05-27
94,Adam Fox,,,,no_handle,2026-05-27
95,Vladislav Gavrikov,,,,no_handle,2026-05-27
96,Warren Foegele,,,,no_handle,2026-05-27
97,Tim Stützle,timstuetzle8,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
98,Drake Batherson,,,,no_handle,2026-05-27
99,Thomas Chabot,,,,no_handle,2026-05-27
100,Jordan Spence,,,,no_handle,2026-05-27
101,Travis Konecny,,,,no_handle,2026-05-27
102,Christian Dvorak,,,,no_handle,2026-05-27
103,Alex Bump,,,,no_handle,2026-05-27
104,Travis Sanheim,sanheim17,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
105,Rasmus Ristolainen,,,,no_handle,2026-05-27
106,Sidney Crosby,,,,no_handle,2026-05-27
107,Bryan Rust,,,,no_handle,2026-05-27
108,Rickard Rakell,rickardrakell,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
109,Erik Karlsson,erikkarlsson65,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
110,Parker Wotherspoon,,,,no_handle,2026-05-27
111,Igor Chernyshov,,,,no_handle,2026-05-27
112,Macklin Celebrini,,,,no_handle,2026-05-27
113,Will Smith,,,,no_handle,2026-05-27
114,Dmitry Orlov,,,,no_handle,2026-05-27
115,Shakir Mukhamadullin,,,,no_handle,2026-05-27
116,Jordan Eberle,seattlekraken,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
117,Bobby McMann,,,,no_handle,2026-05-27
118,Matty Beniers,,,,no_handle,2026-05-27
119,Vince Dunn,,,,no_handle,2026-05-27
120,Adam Larsson,,,,no_handle,2026-05-27
121,Robert Thomas,,,,no_handle,2026-05-27
122,Dylan Holloway,,,,no_handle,2026-05-27
123,Jimmy Snuggerud,,,,no_handle,2026-05-27
124,Philip Broberg,,,,no_handle,2026-05-27
125,Logan Mailloux,,,,no_handle,2026-05-27
126,Nikita Kucherov,,,,no_handle,2026-05-27
127,Anthony Cirelli,,,,no_handle,2026-05-27
128,Brandon Hagel,brandonhagel,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
129,J.J. Moser,janisjeromemoser90,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
130,Darren Raddysh,,,,no_handle,2026-05-27
131,John Tavares,,,,no_handle,2026-05-27
132,William Nylander,williamnylander,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
133,Easton Cowan,,,,no_handle,2026-05-27
134,Morgan Rielly,,,,no_handle,2026-05-27
135,Troy Stecher,,,,no_handle,2026-05-27
136,Clayton Keller,claytonkeller19,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
137,Lawson Crouse,,,,no_handle,2026-05-27
138,Nick Schmaltz,,,,no_handle,2026-05-27
139,Mikhail Sergachev,,,,no_handle,2026-05-27
140,MacKenzie Weegar,,,,no_handle,2026-05-27
141,Drew O'Connor,,,,no_handle,2026-05-27
142,Marco Rossi,,,,no_handle,2026-05-27
143,Linus Karlsson,,,,no_handle,2026-05-27
144,Filip Hronek,,,,no_handle,2026-05-27
145,Zeev Buium,,,,no_handle,2026-05-27
146,Jack Eichel,jackeichel,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
147,Ivan Barbashev,,,,no_handle,2026-05-27
148,Pavel Dorofeyev,,,,no_handle,2026-05-27
149,Shea Theodore,sheatheodore,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
150,Brayden McNabb,,,,no_handle,2026-05-27
151,Alex Ovechkin,aleksandrovechkinofficial,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
152,Dylan Strome,,,,no_handle,2026-05-27
153,Anthony Beauvillier,,,,no_handle,2026-05-27
154,Martin Fehervary,,,,no_handle,2026-05-27
155,Dylan McIlrath,,,,no_handle,2026-05-27
156,Kyle Connor,kyleconnor,,wikipedia,blocked:ProfileNotExistsException,2026-05-27
157,Mark Scheifele,,,,no_handle,2026-05-27
158,Gabriel Vilardi,,,,no_handle,2026-05-27
159,Josh Morrissey,,,,no_handle,2026-05-27
160,Dylan DeMelo,,,,no_handle,2026-05-27
