player_id,full_name,query,trends_12mo,n_weeks,fetch_date
1,Chris Kreider,Chris Kreider,7.6604,53,2026-05-27
2,Leo Carlsson,Leo Carlsson,19.4906,53,2026-05-27
3,Troy Terry,Troy Terry,39.7170,53,2026-05-27
4,Jacob Trouba,Jacob Trouba,39.3396,53,2026-05-27
5,Jackson Lacombe,Jackson Lacombe,11.9434,53,2026-05-27
6,David Pastrnak,David Pastrnak,36.0566,53,2026-05-27
7,Pavel Zacha,Pavel Zacha,29.2642,53,2026-05-27
8,Marat Khusnutdinov,Marat Khusnutdinov,11.4906,53,2026-05-27
9,Charlie McAvoy,Charlie McAvoy,9.9245,53,2026-05-27
10,Jonathan Aspirot,Jonathan Aspirot,14.8302,53,2026-05-27
11,Zach Benson,Zach Benson,13.5283,53,2026-05-27
12,Josh Norris,Josh Norris,29.4528,53,2026-05-27
13,Tage Thompson,Tage Thompson,12.2264,53,2026-05-27
14,Rasmus Dahlin,Rasmus Dahlin,20.7736,53,2026-05-27
15,Mattias Samuelsson,Mattias Samuelsson,16.7925,53,2026-05-27
16,Mikael Backlund,Mikael Backlund,25.0000,53,2026-05-27
17,Blake Coleman,Blake Coleman,13.6604,53,2026-05-27
18,Joel Farabee,Joel Farabee,25.5283,53,2026-05-27
19,Zach Whitecloud,Zach Whitecloud,4.1132,53,2026-05-27
20,Zayne Parekh,Zayne Parekh,10.2453,53,2026-05-27
21,Sebastian Aho,Sebastian Aho,21.1698,53,2026-05-27
22,Andrei Svechnikov,Andrei Svechnikov,29.3585,53,2026-05-27
23,Seth Jarvis,Seth Jarvis,19.1887,53,2026-05-27
24,Jaccob Slavin,Jaccob Slavin,10.2453,53,2026-05-27
25,Jalen Chatfield,Jalen Chatfield,6.1698,53,2026-05-27
26,Frank Nazar,Frank Nazar,21.8113,53,2026-05-27
27,Connor Bedard,Connor Bedard,31.9057,53,2026-05-27
28,Nick Lardis,Nick Lardis,15.9245,53,2026-05-27
29,Alex Vlasic,Alex Vlasic,34.8679,53,2026-05-27
30,Louis Crevier,Louis Crevier,21.4340,53,2026-05-27
31,Nathan MacKinnon,Nathan MacKinnon,17.6792,53,2026-05-27
32,Gabriel Landeskog,Gabriel Landeskog,23.3962,53,2026-05-27
33,Artturi Lehkonen,Artturi Lehkonen,11.6226,53,2026-05-27
34,Cale Makar,Cale Makar,14.2453,53,2026-05-27
35,Devon Toews,Devon Toews,9.7358,53,2026-05-27
36,Kirill Marchenko,Kirill Marchenko,28.0943,53,2026-05-27
37,Adam Fantilli,Adam Fantilli,26.3962,53,2026-05-27
38,Isac Lundestrom,Isac Lundestrom,2.6415,53,2026-05-27
39,Zach Werenski,Zach Werenski,7.6792,53,2026-05-27
40,Dante Fabbro,Dante Fabbro,12.0377,53,2026-05-27
41,Jason Robertson,Jason Robertson,37.4340,53,2026-05-27
42,Wyatt Johnston,Wyatt Johnston,35.9434,53,2026-05-27
43,Mavrik Bourque,Mavrik Bourque,17.3962,53,2026-05-27
44,Miro Heiskanen,Miro Heiskanen,27.2453,53,2026-05-27
45,Thomas Harley,Thomas Harley,25.9245,53,2026-05-27
46,Carter Mazur,Carter Mazur,17.6604,53,2026-05-27
47,Emmitt Finnie,Emmitt Finnie,9.6604,53,2026-05-27
48,Lucas Raymond,Lucas Raymond,19.1887,53,2026-05-27
49,Simon Edvinsson,Simon Edvinsson,8.1887,53,2026-05-27
50,Moritz Seider,Moritz Seider,11.7170,53,2026-05-27
51,Leon Draisaitl,Leon Draisaitl,28.3396,53,2026-05-27
52,Connor McDavid,Connor McDavid,26.3396,53,2026-05-27
53,Kasperi Kapanen,Kasperi Kapanen,15.0189,53,2026-05-27
54,Mattias Ekholm,Mattias Ekholm,14.0755,53,2026-05-27
55,Evan Bouchard,Evan Bouchard,29.1509,53,2026-05-27
56,Matthew Tkachuk,Matthew Tkachuk,15.6604,53,2026-05-27
57,Luke Kunin,Luke Kunin,21.3396,53,2026-05-27
58,Cole Reinhardt,Cole Reinhardt,11.0755,53,2026-05-27
59,Donovan Sebrango,Donovan Sebrango,11.1698,53,2026-05-27
60,Michael Benning,Michael Benning,11.7547,53,2026-05-27
61,Artemi Panarin,Artemi Panarin,8.8868,53,2026-05-27
62,Anze Kopitar,Anze Kopitar,13.0377,53,2026-05-27
63,Adrian Kempe,Adrian Kempe,19.8302,53,2026-05-27
64,Drew Doughty,Drew Doughty,16.0566,53,2026-05-27
65,Mikey Anderson,Mikey Anderson,14.4717,53,2026-05-27
66,Mats Zuccarello,Mats Zuccarello,20.5472,53,2026-05-27
67,Ryan Hartman,Ryan Hartman,29.2264,53,2026-05-27
68,Kirill Kaprizov,Kirill Kaprizov,13.3962,53,2026-05-27
69,Quinn Hughes,Quinn Hughes,9.9245,53,2026-05-27
70,Brock Faber,Brock Faber,16.1887,53,2026-05-27
71,Cole Caufield,Cole Caufield,18.9623,53,2026-05-27
72,Nick Suzuki,Nick Suzuki,34.6226,53,2026-05-27
73,Juraj Slafkovsky,Juraj Slafkovsky,24.7358,53,2026-05-27
74,Mike Matheson,Mike Matheson,20.6226,53,2026-05-27
75,Noah Dobson,Noah Dobson,5.5094,53,2026-05-27
76,Steven Stamkos,Steven Stamkos,37.9245,53,2026-05-27
77,Ryan O'Reilly,Ryan O'Reilly,31.7358,53,2026-05-27
78,Cole O'Hara,Cole O'Hara,4.0377,53,2026-05-27
79,Brady Skjei,Brady Skjei,,0,2026-05-27
80,Nick Perbix,Nick Perbix,5.9811,53,2026-05-27
81,Timo Meier,Timo Meier,30.9811,53,2026-05-27
82,Nico Hischier,Nico Hischier,,0,2026-05-27
83,Dawson Mercer,Dawson Mercer,29.5283,53,2026-05-27
84,Dougie Hamilton,Dougie Hamilton,9.4151,53,2026-05-27
85,Jonas Siegenthaler,Jonas Siegenthaler,16.4340,53,2026-05-27
86,Bo Horvat,Bo Horvat,13.9623,53,2026-05-27
87,Simon Holmstrom,Simon Holmstrom,,0,2026-05-27
88,Victor Eklund,Victor Eklund,11.9057,53,2026-05-27
89,Adam Pelech,Adam Pelech,8.5660,53,2026-05-27
90,Matthew Schaefer,Matthew Schaefer,16.8868,53,2026-05-27
91,Mika Zibanejad,Mika Zibanejad,22.3962,53,2026-05-27
92,Gabriel Perreault,Gabriel Perreault,11.3585,53,2026-05-27
93,Alexis Lafrenière,Alexis Lafrenière,23.9434,53,2026-05-27
94,Adam Fox,Adam Fox,44.4528,53,2026-05-27
95,Vladislav Gavrikov,Vladislav Gavrikov,5.3019,53,2026-05-27
96,Warren Foegele,Warren Foegele,6.7358,53,2026-05-27
97,Tim Stützle,Tim Stützle,,0,2026-05-27
98,Drake Batherson,Drake Batherson,33.2264,53,2026-05-27
99,Thomas Chabot,Thomas Chabot,16.1321,53,2026-05-27
100,Jordan Spence,Jordan Spence,18.4717,53,2026-05-27
101,Travis Konecny,Travis Konecny,,0,2026-05-27
102,Christian Dvorak,Christian Dvorak,12.9623,53,2026-05-27
103,Alex Bump,Alex Bump,16.7358,53,2026-05-27
104,Travis Sanheim,Travis Sanheim,16.7736,53,2026-05-27
105,Rasmus Ristolainen,Rasmus Ristolainen,17.0377,53,2026-05-27
106,Sidney Crosby,Sidney Crosby,13.1887,53,2026-05-27
107,Bryan Rust,Bryan Rust,,0,2026-05-27
108,Rickard Rakell,Rickard Rakell,34.7170,53,2026-05-27
109,Erik Karlsson,Erik Karlsson,38.8491,53,2026-05-27
110,Parker Wotherspoon,Parker Wotherspoon,23.9811,53,2026-05-27
111,Igor Chernyshov,Igor Chernyshov,6.4151,53,2026-05-27
112,Macklin Celebrini,Macklin Celebrini,19.8491,53,2026-05-27
113,Will Smith,Will Smith,60.9434,53,2026-05-27
114,Dmitry Orlov,Dmitry Orlov,14.7358,53,2026-05-27
115,Shakir Mukhamadullin,Shakir Mukhamadullin,14.8491,53,2026-05-27
116,Jordan Eberle,Jordan Eberle,33.4151,53,2026-05-27
117,Bobby McMann,Bobby McMann,10.8302,53,2026-05-27
118,Matty Beniers,Matty Beniers,37.8868,53,2026-05-27
119,Vince Dunn,Vince Dunn,30.8679,53,2026-05-27
120,Adam Larsson,Adam Larsson,29.8491,53,2026-05-27
121,Robert Thomas,Robert Thomas,33.7170,53,2026-05-27
122,Dylan Holloway,Dylan Holloway,38.6792,53,2026-05-27
123,Jimmy Snuggerud,Jimmy Snuggerud,23.6792,53,2026-05-27
124,Philip Broberg,Philip Broberg,14.7736,53,2026-05-27
125,Logan Mailloux,Logan Mailloux,9.6981,53,2026-05-27
126,Nikita Kucherov,Nikita Kucherov,22.6226,53,2026-05-27
127,Anthony Cirelli,Anthony Cirelli,9.8491,53,2026-05-27
128,Brandon Hagel,Brandon Hagel,12.3774,53,2026-05-27
129,J.J. Moser,J.J. Moser,2.0377,53,2026-05-27
130,Darren Raddysh,Darren Raddysh,22.2453,53,2026-05-27
131,John Tavares,John Tavares,18.8491,53,2026-05-27
132,William Nylander,William Nylander,32.5472,53,2026-05-27
133,Easton Cowan,Easton Cowan,19.3774,53,2026-05-27
134,Morgan Rielly,Morgan Rielly,41.2264,53,2026-05-27
135,Troy Stecher,Troy Stecher,,0,2026-05-27
136,Clayton Keller,Clayton Keller,16.2453,53,2026-05-27
137,Lawson Crouse,Lawson Crouse,17.6415,53,2026-05-27
138,Nick Schmaltz,Nick Schmaltz,17.0000,53,2026-05-27
139,Mikhail Sergachev,Mikhail Sergachev,17.9623,53,2026-05-27
140,MacKenzie Weegar,MacKenzie Weegar,,0,2026-05-27
141,Drew O'Connor,Drew O'Connor,26.8491,53,2026-05-27
142,Marco Rossi,Marco Rossi,19.6604,53,2026-05-27
143,Linus Karlsson,Linus Karlsson,18.7925,53,2026-05-27
144,Filip Hronek,Filip Hronek,23.6038,53,2026-05-27
145,Zeev Buium,Zeev Buium,8.3208,53,2026-05-27
146,Jack Eichel,Jack Eichel,20.8491,53,2026-05-27
147,Ivan Barbashev,Ivan Barbashev,16.3585,53,2026-05-27
148,Pavel Dorofeyev,Pavel Dorofeyev,18.3962,53,2026-05-27
149,Shea Theodore,Shea Theodore,13.9057,53,2026-05-27
150,Brayden McNabb,Brayden McNabb,6.2642,53,2026-05-27
151,Alex Ovechkin,Alex Ovechkin,25.8679,53,2026-05-27
152,Dylan Strome,Dylan Strome,24.1887,53,2026-05-27
153,Anthony Beauvillier,Anthony Beauvillier,13.8868,53,2026-05-27
154,Martin Fehervary,Martin Fehervary,8.4717,53,2026-05-27
155,Dylan McIlrath,Dylan McIlrath,4.6038,53,2026-05-27
156,Kyle Connor,Kyle Connor,17.0377,53,2026-05-27
157,Mark Scheifele,Mark Scheifele,21.1132,53,2026-05-27
158,Gabriel Vilardi,Gabriel Vilardi,,0,2026-05-27
159,Josh Morrissey,Josh Morrissey,,0,2026-05-27
160,Dylan DeMelo,Dylan DeMelo,,0,2026-05-27
