player_id,full_name,wikipedia_slug_tried,wikipedia_slug_chosen,wikidata_qid,wiki_match,wiki_12mo,fetch_date,window_start,window_end
1,Chris Kreider,Chris_Kreider,Chris_Kreider,Q465017,occupation,107567,2026-05-27,20250526,20260526
2,Leo Carlsson,Leo_Carlsson,Leo_Carlsson,Q115703445,occupation,86957,2026-05-27,20250526,20260526
3,Troy Terry,Troy_Terry,Troy_Terry,Q21600096,occupation,38378,2026-05-27,20250526,20260526
4,Jacob Trouba,Jacob_Trouba,Jacob_Trouba,Q3133586,occupation,72563,2026-05-27,20250526,20260526
5,Jackson Lacombe,Jackson_Lacombe,Jackson_LaCombe,Q108556047,occupation,109263,2026-05-27,20250526,20260526
6,David Pastrnak,David_Pastrnak,David_Pastrňák,Q16224594,occupation,190990,2026-05-27,20250526,20260526
7,Pavel Zacha,Pavel_Zacha,Pavel_Zacha,Q16225756,occupation,41117,2026-05-27,20250526,20260526
8,Marat Khusnutdinov,Marat_Khusnutdinov,Marat_Khusnutdinov,Q100166282,occupation,49825,2026-05-27,20250526,20260526
9,Charlie McAvoy,Charlie_McAvoy,Charlie_McAvoy,Q23926004,occupation,226292,2026-05-27,20250526,20260526
10,Jonathan Aspirot,Jonathan_Aspirot,Jonathan_Aspirot,Q90428177,occupation,17949,2026-05-27,20250526,20260526
11,Zach Benson,Zach_Benson,Zach_Benson,Q120015681,occupation,128201,2026-05-27,20250526,20260526
12,Josh Norris,Josh_Norris,Josh_Norris,Q30542583,occupation,54281,2026-05-27,20250526,20260526
13,Tage Thompson,Tage_Thompson,Tage_Thompson,Q24805735,occupation,420001,2026-05-27,20250526,20260526
14,Rasmus Dahlin,Rasmus_Dahlin,Rasmus_Dahlin,Q27839454,occupation,158643,2026-05-27,20250526,20260526
15,Mattias Samuelsson,Mattias_Samuelsson,Mattias_Samuelsson,Q56301360,occupation,57445,2026-05-27,20250526,20260526
16,Mikael Backlund,Mikael_Backlund,Mikael_Backlund,Q1286038,occupation,33435,2026-05-27,20250526,20260526
17,Blake Coleman,Blake_Coleman,Blake_Coleman,Q8840022,occupation,37579,2026-05-27,20250526,20260526
18,Joel Farabee,Joel_Farabee,Joel_Farabee,Q55176953,occupation,25513,2026-05-27,20250526,20260526
19,Zach Whitecloud,Zach_Whitecloud,Zach_Whitecloud,Q51954829,occupation,76766,2026-05-27,20250526,20260526
20,Zayne Parekh,Zayne_Parekh,Zayne_Parekh,Q124809440,occupation,238511,2026-05-27,20250526,20260526
21,Sebastian Aho,Sebastian_Aho,Sebastian_Aho,Q16158994,occupation,20545,2026-05-27,20250526,20260526
22,Andrei Svechnikov,Andrei_Svechnikov,Andrei_Svechnikov,Q34489864,occupation,79451,2026-05-27,20250526,20260526
23,Seth Jarvis,Seth_Jarvis,Seth_Jarvis,Q100149493,occupation,195664,2026-05-27,20250526,20260526
24,Jaccob Slavin,Jaccob_Slavin,Jaccob_Slavin,Q21045691,occupation,113470,2026-05-27,20250526,20260526
25,Jalen Chatfield,Jalen_Chatfield,Jalen_Chatfield,Q104975388,occupation,52055,2026-05-27,20250526,20260526
26,Frank Nazar,Frank_Nazar,Frank_Nazar,Q81905716,occupation,99509,2026-05-27,20250526,20260526
27,Connor Bedard,Connor_Bedard,Connor_Bedard,Q102425753,occupation,534254,2026-05-27,20250526,20260526
28,Nick Lardis,Nick_Lardis,Nick_Lardis,Q137381676,occupation,13868,2026-05-27,20250526,20260526
29,Alex Vlasic,Alex_Vlasic,Alex_Vlasic,Q111310415,occupation,44456,2026-05-27,20250526,20260526
30,Louis Crevier,Louis_Crevier,Louis_Crevier,Q123671144,occupation,19420,2026-05-27,20250526,20260526
31,Nathan MacKinnon,Nathan_MacKinnon,Nathan_MacKinnon,Q1966594,occupation,518852,2026-05-27,20250526,20260526
32,Gabriel Landeskog,Gabriel_Landeskog,Gabriel_Landeskog,Q715421,occupation,178408,2026-05-27,20250526,20260526
33,Artturi Lehkonen,Artturi_Lehkonen,Artturi_Lehkonen,Q2365562,occupation,40448,2026-05-27,20250526,20260526
34,Cale Makar,Cale_Makar,Cale_Makar,Q29342308,occupation,412846,2026-05-27,20250526,20260526
35,Devon Toews,Devon_Toews,Devon_Toews,Q60063280,occupation,153239,2026-05-27,20250526,20260526
36,Kirill Marchenko,Kirill_Marchenko,Kirill_Marchenko,Q56651259,occupation,25877,2026-05-27,20250526,20260526
37,Adam Fantilli,Adam_Fantilli,Adam_Fantilli,Q114924131,occupation,79304,2026-05-27,20250526,20260526
38,Isac Lundestrom,Isac_Lundestrom,Isac_Lundeström,Q23869474,occupation,11713,2026-05-27,20250526,20260526
39,Zach Werenski,Zach_Werenski,Zach_Werenski,Q19662630,occupation,189573,2026-05-27,20250526,20260526
40,Dante Fabbro,Dante_Fabbro,Dante_Fabbro,Q22005702,occupation,18817,2026-05-27,20250526,20260526
41,Jason Robertson,Jason_Robertson,Jason_Robertson,Q83617451,occupation,244307,2026-05-27,20250526,20260526
42,Wyatt Johnston,Wyatt_Johnston,Wyatt_Johnston,Q107677619,occupation,61032,2026-05-27,20250526,20260526
43,Mavrik Bourque,Mavrik_Bourque,Mavrik_Bourque,Q100166499,occupation,66053,2026-05-27,20250526,20260526
44,Miro Heiskanen,Miro_Heiskanen,Miro_Heiskanen,Q24827214,occupation,41946,2026-05-27,20250526,20260526
45,Thomas Harley,Thomas_Harley,Thomas_Harley_(ice_hockey),Q65030543,occupation,101354,2026-05-27,20250526,20260526
46,Carter Mazur,Carter_Mazur,Carter_Mazur,Q117467906,occupation,12705,2026-05-27,20250526,20260526
47,Emmitt Finnie,Emmitt_Finnie,Emmitt_Finnie,Q136463467,occupation,49008,2026-05-27,20250526,20260526
48,Lucas Raymond,Lucas_Raymond,Lucas_Raymond,Q60248316,occupation,77565,2026-05-27,20250526,20260526
